Title,Price,Description,Link,Date,Usage,Brand,Model,ClassifiedDate
SALE! Refurbished laptops vanaf 199 inclusief Windows 11 PRO,"€ 199,00",Sale aanbieding! Bent u op zoek naar een goed werkende en betrouwbare laptop die nog jaren mee gaat? Profiteer nu van onze aanbied,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1445673128-sale-refurbished-laptops-vanaf-199-inclusief-windows-11-pro,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
HP ENVY x360 13-bf0021nb Azerty laptops,"€ 381,99","Extra info: als nieuw, belgisch azerty toetsenbord dit product is een retour binnen de bedenktijd van 30 dagen dus zou gebruikt ku",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1509611582-hp-envy-x360-13-bf0021nb-azerty-laptops,Vandaag,Nieuw,HP,ENVY x360 13-bf0021nb,Vandaag
UITVERKOOP!! Refurbished Lenovo HP DELL laptops + Garantie!,"€ 219,00","Klik op de website knop en ga naar onze webshop voor een overzicht van alle modellen, specificaties en prijzen. Of kom gerust lang",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1031656197-uitverkoop-refurbished-lenovo-hp-dell-laptops-garantie,Vandaag,Zo goed als nieuw,Lenovo,Unknown,Vandaag
"Diverse Dell & HP PCs, Core i5-i7 512GB+ 16GB+ W11 PRO","€ 259,00","Voor een jong gebruikt ( refurbished ) laptop of systeem net core i5, i7 of amd ryzen gaat u naar www.tvdlcomputers.nl, wij bieden",https://www.marktplaats.nl/v/computers-en-software/desktop-pc-s/a1506261145-diverse-dell-hp-pcs-core-i5-i7-512gb-16gb-w11-pro,Vandaag,Refurbished,Unknown,Unknown,Vandaag
"Cisco, Juniper, HP, Servers en andere (gebruikte) Hardware!",N.o.t.k.,"Heeft u nog cisco, hp procurve, juniper, emc, ibm, avaya of andere netwerk apparatuur of servers liggen die u kwijt wilt? Easy har",https://www.marktplaats.nl/v/computers-en-software/netwerk-switches/a1001553734-cisco-juniper-hp-servers-en-andere-gebruikte-hardware,Vandaag,Gebruikt,Unknown,Unknown,Vandaag
SALE! Refurbished laptops vanaf 199 inclusief Windows 11 PRO,"€ 199,00",Sale aanbieding! Bent u op zoek naar een goed werkende en betrouwbare laptop die nog jaren mee gaat? Profiteer nu van onze aanbied,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1445673128-sale-refurbished-laptops-vanaf-199-inclusief-windows-11-pro,Vandaag,Zo goed als nieuw,Unknown,Refurbished laptop,Vandaag
SALE! Refurbished HP Elitebook vanaf 199 euro inclusief W11,"€ 199,00",Sale aanbiedingen!!! In bijna nieuw staat verkerende super snelle hp elitebook 840 (14 inch) | 830 (13 inch) | 850 (15 inch) alle,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1431548260-sale-refurbished-hp-elitebook-vanaf-199-euro-inclusief-w11,Vandaag,Zo goed als nieuw,HP,Elitebook 840,Vandaag
Laptop Hp Elitebook 850 G5 i5,Bieden,"Hp elitebook 840 g5 intel i5 beeldscherm 14,9inch ik verkoop dit omdat ik een laptop wil kopen met een veel groter scherm om op de",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/m2226001549-laptop-hp-elitebook-850-g5-i5,Vandaag,Zo goed als nieuw,Hp,Elitebook 850 G5,Vandaag
HP ENVY x360 13-bf0021nb Azerty laptops,"€ 381,99","Extra info: als nieuw, belgisch azerty toetsenbord dit product is een retour binnen de bedenktijd van 30 dagen dus zou gebruikt ku",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1509611582-hp-envy-x360-13-bf0021nb-azerty-laptops,Vandaag,Nieuw,HP,ENVY x360 13-bf0021nb,Vandaag
UITVERKOOP!! Refurbished Lenovo HP DELL laptops + Garantie!,"€ 219,00","Klik op de website knop en ga naar onze webshop voor een overzicht van alle modellen, specificaties en prijzen. Of kom gerust lang",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1031656197-uitverkoop-refurbished-lenovo-hp-dell-laptops-garantie,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
HP ZBook Power 15.6 G8 met fabrieksgarantie!,"€ 475,00","Krachtige laptop voor gaming of zakelijk gebruik hp zbook power 15.6 G8 met fabrieksgarantie! • Processor: intel i7-11800h (tot 4,",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/m2225861307-hp-zbook-power-15-6-g8-met-fabrieksgarantie,Vandaag,Gebruikt,HP,ZBook Power 15.6 G8,Vandaag
"SALE !! HP EliteDesks vanaf € 199,- met Windows 11 PRO","€ 199,00",Sale : op zoek naar een krachtige en betrouwbare pc voor een scherpe prijs? Bij hardware4sale bieden wij refurbished hp elitedesk&,https://www.marktplaats.nl/v/computers-en-software/desktop-pc-s/a1506822229-sale-hp-elitedesks-vanaf-199-met-windows-11-pro,Vandaag,Zo goed als nieuw,HP,EliteDesk,Vandaag
HP ENVY x360 15-ew0972nd laptops,"€ 652,50","Extra info: showroom model, oplader en originele verpakking ontbreekt dit product is een retour binnen de bedenktijd van 30 dagen",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1509460316-hp-envy-x360-15-ew0972nd-laptops,Vandaag,Nieuw,HP,ENVY x360 15-ew0972nd,Vandaag
HP Printer,"€ 100,00",Hp printer color laser enterprice mfp m480 deze printer kan scannen en printen met nog veel meer mogelijkheden. Weing gebruikt doe,https://www.marktplaats.nl/v/computers-en-software/printers/m2225920312-hp-printer,Vandaag,Zo goed als nieuw,HP,Color LaserJet Enterprise MFP M480,Vandaag
Sale ! Refurbished (Mini) pcs inclusief Windows 11 PRO !!!,"€ 199,00","Ontdek onze perfecte sale deals bij hardware4sale! Prijzen vanaf € 199,- onze sale is nu live! Van krachtige desktops tot com",https://www.marktplaats.nl/v/computers-en-software/desktop-pc-s/a1495866933-sale-refurbished-mini-pcs-inclusief-windows-11-pro,Vandaag,Zo goed als nieuw,hardware4sale,(Mini) pcs,Vandaag
