Title,Price,Description,Link,Date,Usage,Brand,Model,ClassifiedDate
SALE! Refurbished laptops vanaf 199 inclusief Windows 11 PRO,"€ 199,00",Sale aanbieding! Bent u op zoek naar een goed werkende en betrouwbare laptop die nog jaren mee gaat? Profiteer nu van onze aanbied,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1445673128-sale-refurbished-laptops-vanaf-199-inclusief-windows-11-pro,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
Lenovo Thinkpad T560 Core i7 6600U | 16GB | 256GB SSD | F...,"€ 159,00","L&o computers maakt de verkoop van gebruikte ex-lease producten mogelijk door deze in de productieafdeling te controleren, tes",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1509815862-lenovo-thinkpad-t560-core-i7-6600u-16gb-256gb-ssd-f,Vandaag,Gebruikt,Lenovo,Thinkpad T560,Vandaag
HP Elitebook 845 G8 Ryzen 7 5850 | 512GB | 16GB | W11PRO,"€ 459,00",Voor een goede refurbished laptop of pc gaat u naar tvdl. Tvdl bied u een ruim assortiment jonge refurbished intel core i5 & c,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1508922027-hp-elitebook-845-g8-ryzen-7-5850-512gb-16gb-w11pro,Vandaag,Refurbished,HP,Elitebook 845 G8,Vandaag
Lenovo Yoga 730-13IKB | Intel i5 | 8 GB | 256 | Windows 11,"€ 349,00","Zeer luxe lenovo yoga met omklapscherm/tabletmodus refurbished a+ grade. Laatste model van de partij. Heeft een minimaal, nauwelij",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1506641814-lenovo-yoga-730-13ikb-intel-i5-8-gb-256-windows-11,Vandaag,Refurbished,Lenovo,Yoga 730-13IKB,Vandaag
"Laptop: Lenovo ThinkPad T15 Gen 2 - 11th Gen Intel Core i5,","€ 549,00",Specificaties lenovo t15 processor: 11th generatie intel core i5-1135g7 besturingssysteem: windows 11 pro geheugen: 16gb ram voor,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1508463016-laptop-lenovo-thinkpad-t15-gen-2-11th-gen-intel-core-i5,Vandaag,Refurbished,Lenovo,ThinkPad T15 Gen 2,Vandaag
Lenovo Legion 5,Bieden,Ik verkoop dit omdat ik niet meer game. De conditie is zoals nieuw met een: - intel i7 10750h (cpu) - nvidea gtx 1650ti (gpu) - 16,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/m2226422179-lenovo-legion-5,Vandaag,Zo goed als nieuw,Lenovo,Legion 5,Vandaag
SALE! Refurbished laptops vanaf 199 inclusief Windows 11 PRO,"€ 199,00",Sale aanbieding! Bent u op zoek naar een goed werkende en betrouwbare laptop die nog jaren mee gaat? Profiteer nu van onze aanbied,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1445673128-sale-refurbished-laptops-vanaf-199-inclusief-windows-11-pro,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
"Sterke Lenovo Thinkpad L480, i5 8e, 16GB mem, 14 inch FullHD","€ 180,00","Sterke lenovo thinkpad l480 met intel i5-8250u processor, 16gb intern geheugen, 256gb nvme ssd schijf. De laptop is in goede staat",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/m2225146481-sterke-lenovo-thinkpad-l480-i5-8e-16gb-mem-14-inch-fullhd,Vandaag,Zo goed als nieuw,Lenovo,Thinkpad L480,Vandaag
Sale ! Refurbished (Mini) pcs inclusief Windows 11 PRO !!!,"€ 199,00","Ontdek onze perfecte sale deals bij hardware4sale! Prijzen vanaf € 199,- onze sale is nu live! Van krachtige desktops tot com",https://www.marktplaats.nl/v/computers-en-software/desktop-pc-s/a1495866933-sale-refurbished-mini-pcs-inclusief-windows-11-pro,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
Lenovo Thinkpad YOGA 380- i5- 16GB mem- FullHD Touch -stylus,"€ 190,00","Nette lenovo thinkpad l380 yoga met i5-8350u processor, 16gb ram en 256gb ssd. Inclusief usb-c oplader en de stylus pen. De laptop",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/m2221831623-lenovo-thinkpad-yoga-380-i5-16gb-mem-fullhd-touch-stylus,Vandaag,Gebruikt,Lenovo,Thinkpad YOGA 380,Vandaag
