Title,Price,Description,Link,Date,Usage,Brand,Model,ClassifiedDate
Refurbished Macbooks |Diverse| N.O.P | Garantie,Zie omschrijving,Moet je binnenkort een macbook kopen? Voor studie of werk? Heb je naar de prijzen gekeken en waren ze onredelijk? Maak je geen zor,https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/a1501610579-refurbished-macbooks-diverse-n-o-p-garantie,Vandaag,Refurbished,Unknown,Unknown,Vandaag
Apple Macbook PRO 2020 A2251 13.3 inch i7 32GB 512GB,"€ 699,00","De apple macbook pro 2020 a2251 combineert kracht en stijl in een compact 13,3-inch design. Uitgerust met een intel core i7-10e-pr",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1508622275-apple-macbook-pro-2020-a2251-13-3-inch-i7-32gb-512gb,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
Apple MacBook Pro 16 2019 | Core i9 / 32GB / 512GB SSD,"€ 945,00",Apple macbook pro retina 16 met touchbar nieuw in geopende verpakking razendsnelle macbook met intel core i9 processor en 32gb ram,https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/a1508861421-apple-macbook-pro-16-2019-core-i9-32gb-512gb-ssd,Vandaag,Nieuw,Unknown,Unknown,Vandaag
Refurbished Microsoft Surface Book 3 - i5-1035G7 8GB 256GB,"€ 275,00",Ben je op zoek naar een krachtige en veelzijdige laptop die zowel voor werk als ontspanning geschikt is? Dan is deze refurbished m,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1508465342-refurbished-microsoft-surface-book-3-i5-1035g7-8gb-256gb,Vandaag,Refurbished,Unknown,Unknown,Vandaag
Macbook pro 2016 15-inch i7 512gb Incl. Lader | Nette Staat,"€ 349,99","Macbook pro 2016 15-inch i7 512gb incl. Lader | nette staat - nette staat - 16gb ram - 512gb - i7 - 2,6ghz - intel graphics 530 15",https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/a1509838537-macbook-pro-2016-15-inch-i7-512gb-incl-lader-nette-staat,Vandaag,Nieuw,Unknown,Unknown,Vandaag
"Apple Macbook Pro 15"" Early 2011 High Spec Upgraded","€ 185,00","Top level graphics card, replaced under warranty by apple in 2015 in graphic card warranty programme. Upgraded to 16gb crucial mem",https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2226352708-apple-macbook-pro-15-early-2011-high-spec-upgraded,Vandaag,Gebruikt,Unknown,Unknown,Vandaag
Apple Macbook pro 13” M1 (2020),"€ 750,00","Ik verkoop mijn macbook pro 13” (2020) met de krachtige apple m1-chip. De laptop werkt perfect, is altijd netjes gebruikt en ziet",https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2225764019-apple-macbook-pro-13-m1-2020,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
"Macbook Pro 16"" i9 2,3 GHz 8-Core 32GB Ram 1TB SSD + EXTRA'S","€ 1.150,00","✅ apple macbook pro 16 inch  i9 2,3 ghz 8-core 32gb ram 1tb 2021 + veel extra’s. Bij deze bied ik mijn als nieuwe macbook pro ret",https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2226257765-macbook-pro-16-i9-2-3-ghz-8-core-32gb-ram-1tb-ssd-extra-s,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
Apple Macbook PRO 2020 A2251 13.3 inch i7 32GB 512GB,"€ 699,00","De apple macbook pro 2020 a2251 combineert kracht en stijl in een compact 13,3-inch design. Uitgerust met een intel core i7-10e-pr",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1508622275-apple-macbook-pro-2020-a2251-13-3-inch-i7-32gb-512gb,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
"MacBook Pro 13-inch, 2,4 GHz Quad-Core Intel i5, 8GB, 256GB","€ 600,00",Ik verkoop mijn macbook pro 13-inch met touch bar uit 2019 omdat ik hem nauwelijks gebruik. Ik werk vooral op mijn ipad en deze la,https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2225980233-macbook-pro-13-inch-2-4-ghz-quad-core-intel-i5-8gb-256gb,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
MB Pro 16” M3 36GB Ram 18-core GPU 11-2023 71 Laadcycli,"€ 1.999,00",In nieuwstaat verkerende high-end macbook pro 16” inch m3 van november 2023 met pas 71 laadcycli. Deze op bestelling geleverde mac,https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2226477662-mb-pro-16-m3-36gb-ram-18-core-gpu-11-2023-71-laadcycli,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
MacBook Pro 13 Inch 2018 Intel i7 16GB RAM 512GB SSD,"€ 399,00",Aangeboden: macbook pro 13 inch 2018 model in kleur spacegrijs. Meerdere beschikbaar in nette staat en goede batterij conditie. Sp,https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2224598293-macbook-pro-13-inch-2018-intel-i7-16gb-ram-512gb-ssd,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
Refurbished Macbooks |Diverse| N.O.P | Garantie,Zie omschrijving,Moet je binnenkort een macbook kopen? Voor studie of werk? Heb je naar de prijzen gekeken en waren ze onredelijk? Maak je geen zor,https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/a1501610579-refurbished-macbooks-diverse-n-o-p-garantie,Vandaag,Refurbished,Unknown,Unknown,Vandaag
Apple MacBook Pro 13 inch (2019) met touchbar en 1TB SSD,"€ 700,00","Mooie macbook pro (model 2019) te koop, met: 13 inch retina scherm touchbar touch id 16 gb geheugen 1 tb ssd opslag gloednieuw toe",https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2224055603-apple-macbook-pro-13-inch-2019-met-touchbar-en-1tb-ssd,Vandaag,Gebruikt,Unknown,Unknown,Vandaag
MacBook Pro 2019 13 inch TouchBar - 8GB - 128GB i5 Accu 94,"€ 380,00",Zo goed als nieuw zilver weinig gebruikt macbook pro 13 inch touchbar met doos .macbook is schoon geinstalleerd met mac os sequoia,https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2221433553-macbook-pro-2019-13-inch-touchbar-8gb-128gb-i5-accu-94,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
MacBook Pro 2015,"€ 275,00",Te koop: macbook pro 2015 in uitstekende staat deze macbook pro uit 2015 is altijd netjes verzorgd en goed onderhouden. Geen krass,https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2216760758-macbook-pro-2015,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
