Title,Price,Description,Link,Date,Usage,Brand,Model,ClassifiedDate
Grayna Mucha (XX-XXI) - Bouquet of roses,"€ 32,00",Ik ben geboren in krakau en heb vele jaren als leraar gewerkt. In 1997 besloot ik mijn geleerde beroep te veranderen en mij volled,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-schilderijen-klassiek/a1509628534-grayna-mucha-xx-xxi-bouquet-of-roses,Eergisteren,No usage,Grayna Mucha,Bouquet of roses,Eergisteren
"Spiegel (4) - Glas, Hout - Naar Alfons Mucha","€ 450,00","Decoratieve wandspiegels in glas-in-lood formaat, behorend tot de serie ""de fasen van de dag"" van meester alphonse mucha",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509726397-spiegel-4-glas-hout-naar-alfons-mucha,Eergisteren,No usage,Unknown,Naar Alfons Mucha,Eergisteren
After Alphonse Mucha Cabeza Bizantina: Rubia (1897) -,"€ 16,00","Grote paneelwandkapstok met prachtige, elegante en decoratieve weergave van alphonse mucha's werk uit 1897 ""byzantine hea",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509635554-after-alphonse-mucha-cabeza-bizantina-rubia-1897,Eergisteren,No usage,Alphonse Mucha,Cabeza Bizantina: Rubia,Eergisteren
"Mucha, Alphonse (après) - Wandspiegel (4)- The Times of the","€ 280,00","Deze vier juwelen zijn de complete serie ""the times of the day"", getekend door de tsjechische kunstenaar alphonse mucha",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509703894-mucha-alphonse-apres-wandspiegel-4-the-times-of-the,Eergisteren,No usage,Unknown,The Times of the Day,Eergisteren
Alphonse Mucha (après) - Wandspiegel (4)- The Seasons,"€ 3,00","Complete series ""the seasons"" (alphonse mucha, 1900). Excellent condition! Beautiful original frame. 4 Signed wall mirro",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509878262-alphonse-mucha-apres-wandspiegel-4-the-seasons,Eergisteren,No usage,Alphonse Mucha,The Seasons,Eergisteren
Grayna Mucha (XX-XXI) - Bouquet of roses,"€ 32,00",Ik ben geboren in krakau en heb vele jaren als leraar gewerkt. In 1997 besloot ik mijn geleerde beroep te veranderen en mij volled,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-schilderijen-klassiek/a1509628534-grayna-mucha-xx-xxi-bouquet-of-roses,Eergisteren,No usage,Grayna Mucha,Bouquet of roses,Eergisteren
Alfons Mucha 4 tegels (jugendstil) “De uren van de dag”,Bieden,Alfons much serie van 4 tegels (jugendstil) “de uren van de dag” vier tegels met voorstellingen van de tsjechische kunstenaar alfo,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-wandborden-en-tegels/m2222305698-alfons-mucha-4-tegels-jugendstil-de-uren-van-de-dag,Eergisteren,Ophalen,Unknown,Alfons Mucha,Eergisteren
"Spiegel (4) - Glas, Hout - Naar Alfons Mucha","€ 450,00","Decoratieve wandspiegels in glas-in-lood formaat, behorend tot de serie ""de fasen van de dag"" van meester alphonse mucha",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509726397-spiegel-4-glas-hout-naar-alfons-mucha,Eergisteren,No usage,Alfons Mucha,Spiegel Glas Hout Series,Eergisteren
Reproducties Alphonse Mucha door H. Lacaze,"€ 350,00",Prachtige grote werken120x58 cm gesigneerd op de passepartout. Of het zeefdrukken of steendrukken zijn weet ik niet. Prachtig kwal,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-litho-s-en-zeefdrukken/m2223324198-reproducties-alphonse-mucha-door-h-lacaze,Vandaag,Ophalen,H. Lacaze,Reproducties Alphonse Mucha,Vandaag
After Alphonse Mucha Cabeza Bizantina: Rubia (1897) -,"€ 16,00","Grote paneelwandkapstok met prachtige, elegante en decoratieve weergave van alphonse mucha's werk uit 1897 ""byzantine hea",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509635554-after-alphonse-mucha-cabeza-bizantina-rubia-1897,Vandaag,No usage,Alphonse Mucha,Cabeza Bizantina: Rubia,Vandaag
Uniek Alphonse Mucha Wereld Art Nouveau dag Print Poster 10,"€ 27,50",Limited edition print naar werk van alphonse mucha 'lance perfum rodo' = speciaal ter gelegenheid wereld art nouveau = ism,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-litho-s-en-zeefdrukken/m2223569731-uniek-alphonse-mucha-wereld-art-nouveau-dag-print-poster-10,Eergisteren,Verzenden,Alphonse Mucha,Lance Perfum Rodo Print Poster,Eergisteren
"Mucha, Alphonse (après) - Wandspiegel (4)- The Times of the","€ 280,00","Deze vier juwelen zijn de complete serie ""the times of the day"", getekend door de tsjechische kunstenaar alphonse mucha",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509703894-mucha-alphonse-apres-wandspiegel-4-the-times-of-the,Eergisteren,No usage,Alphonse Mucha,The Times of the Day,Eergisteren
Grote 50x70cm Kunst Poster ALPHONSE MUCHA Art Nouveau .,"€ 24,95","- prijs is inclusief gratis verzending in koker! - Mooie 50x70cm grote poster, klaar om op te hangen! - Nieuw - 170gsm papier - le",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-litho-s-en-zeefdrukken/m2223612415-grote-50x70cm-kunst-poster-alphonse-mucha-art-nouveau,Eergisteren,Verzenden,Unknown,ALPHONSE MUCHA Art Nouveau,Eergisteren
Alphonse Mucha (après) - Wandspiegel (4)- The Seasons,"€ 3,00","Complete series ""the seasons"" (alphonse mucha, 1900). Excellent condition! Beautiful original frame. 4 Signed wall mirro",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509878262-alphonse-mucha-apres-wandspiegel-4-the-seasons,Eergisteren,No usage,Alphonse Mucha,The Seasons Wandspiegel,Eergisteren
Grote 50x70cm Kunst Poster ALPHONSE MUCHA Art Nouveau ..,"€ 24,95","- prijs is inclusief gratis verzending in koker! - Mooie 50x70cm grote poster, klaar om op te hangen! - Nieuw - 170gsm papier - le",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-litho-s-en-zeefdrukken/m2223612608-grote-50x70cm-kunst-poster-alphonse-mucha-art-nouveau,Eergisteren,Verzenden,Unknown,ALPHONSE MUCHA,Eergisteren
De herfst - Alphonse Mucha - 148 x 74 cm - Exclusief Gobelin,"€ 150,00","Dompel jezelf onder in de tijdloze schoonheid van ons wandtapijt in middeleeuwse stijl, geïnspireerd op de prachtige werken van al",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509807855-de-herfst-alphonse-mucha-148-x-74-cm-exclusief-gobelin,Eergisteren,No usage,Unknown,De herfst - Alphonse Mucha,Eergisteren
"Spiegel - Glas, Hout - Naar Alfons Mucha","€ 3,00",Hét online veilinghuis voor jou! Catawiki is het meest bezochte online platform in europa voor bijzondere objecten geselecteerd do,https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509864050-spiegel-glas-hout-naar-alfons-mucha,6 jan 25,No usage,Spiegel,"Glas, Hout - Naar Alfons Mucha",6 jan 25
Grote Uniek Alphonse Mucha Art Nouveau dag Poster,"€ 35,00",40x 50 cm incl lijst (werk zelf is ca 30x40 cm) unieke hommage aan alphonse mucha poster incl lijst = speciaal ter gelegenheid van,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-litho-s-en-zeefdrukken/m2223612239-grote-uniek-alphonse-mucha-art-nouveau-dag-poster,Eergisteren,Verzenden,Unknown,Alphonse Mucha Art Nouveau dag Poster,Eergisteren
Hutschenreuther - Mucha - Wandbord - Keramiek - De,"€ 5,00","Alfons mucha (naar) de seizoenen: “de winter” hutschenreuther duitsland uitstekende staat zoals weergegeven op de foto, verzending",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509826080-hutschenreuther-mucha-wandbord-keramiek-de,Eergisteren,No usage,Hutschenreuther,Mucha,Eergisteren
Hutschenreuther - Mucha - Wandbord - Keramiek - De,"€ 15,00","Alfons mucha (naar) de seizoenen: “de lente” hutschenreuther duitsland uitstekende staat zoals weergegeven op de foto, verzending",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509826070-hutschenreuther-mucha-wandbord-keramiek-de,30 dec 24,No usage,Hutschenreuther,Mucha,30 dec 24
Hutschenreuther - Mucha - Wandbord - Keramiek - De,"€ 15,00","Alfons mucha (naar) de seizoenen: “de herfst” hutschenreuther duitsland uitstekende staat zoals weergegeven op de foto, verzending",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509826049-hutschenreuther-mucha-wandbord-keramiek-de,8 jan 25,No usage,Hutschenreuther,Mucha,8 jan 25
Oude MUCHA Spiegels/Autumn Winter/Art Nouveau,Bieden,"Oude spiegels met houten lijstjes, jaren 70 the four seasons/alphonse mucha autumn winter afm: ong 20x35 cm spiegels in mooie cond",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-spiegels/m2203017014-oude-mucha-spiegels-autumn-winter-art-nouveau,18 nov 24,Ophalen,Mucha,Autumn Winter,18 nov 24
Alphonse Mucha (1860-1939) - Lorenzaccio (Sarah Bernhardt),"€ 2.400,00","Alfons mucha (1860-1939) lorenzaccio (sarah bernhardt), 1897 kleurenlitho (imprimerie champenois) gesigneerd in de plaat op fijn p",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509617193-alphonse-mucha-1860-1939-lorenzaccio-sarah-bernhardt,18 nov 24,No usage,Alphonse Mucha,Lorenzaccio (Sarah Bernhardt),18 nov 24
Grote 50x70cm Kunst Poster ALPHONSE MUCHA Art Nouveau,"€ 19,50","- mooie 50x70cm grote poster, klaar om op te hangen! - Nieuw - 170gsm papier - levertijd 4-6 werkdagen             ik kan gecombin",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-litho-s-en-zeefdrukken/m2223578346-grote-50x70cm-kunst-poster-alphonse-mucha-art-nouveau,Eergisteren,Verzenden,Unknown,ALPHONSE MUCHA,Eergisteren
Eeuwigdurende kalender - Frankrijk - Spiegelkalender Mucha,"€ 3,00","""job cigarettes"" spiegel metalen eeuwigdurende kalender - frankrijk, alphonse mucha stijl deze elegante eeuwigdurende ka",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-wandborden-en-tegels/a1509851822-eeuwigdurende-kalender-frankrijk-spiegelkalender-mucha,Eergisteren,No usage,Unknown,Spiegelkalender Mucha,Eergisteren
Mucha spiegel,"€ 20,00","Mucha spiegel afmetingen zijn 41 bij 30 cm oer nij…het friese woord voor opnieuw…. Het restylen van antieke, oude of nieuwe meubel",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-spiegels/m2211638209-mucha-spiegel,11 dec 24,Ophalen of Verzenden,Unknown,Mucha spiegel,11 dec 24
Goebel - Alphonse Mucha - Pot (4) - Vier lantaarns De Vier,"€ 150,00","Vier zeer decoratieve en fraaie lantaarns met allegorische voorstellingen van de vier seizoenen, geschilderd door alphonse mucha r",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-glas-en-kristal/a1509863570-goebel-alphonse-mucha-pot-4-vier-lantaarns-de-vier,11 dec 24,No usage,Goebel,Alphonse Mucha - Pot (4) - Vier lantaarns De Vier,11 dec 24
Paul Leroy (1860-1942) - Joueuses dosselets,"€ 220,00","Paul leroy (1860-1942) kaarten van ossen, 1897 lithografie op velijnpapier. Gesigneerd op de plaat rechtsondermars. Blindstempel v",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509649824-paul-leroy-1860-1942-joueuses-dosselets,8 nov 24,No usage,Unknown,Joueuses dosselets,8 nov 24
ALPHONSE MUCHA GISMONDA Art Metalen Wandbord,"€ 10,95",Alphonse mucha 'gismonda' metalen bord 15x31 cm 4 gaatjes voor makkelijke bevestiging prachtige decoratie verzendkosten ko,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-tekeningen-en-foto-s/m2223572696-alphonse-mucha-gismonda-art-metalen-wandbord,Eergisteren,Verzenden,Alphonse Mucha,Gismonda,Eergisteren
Goebel - Alphonse Mucha - Pot - Vaas The Moon & The Stars,"€ 150,00",Hét online veilinghuis voor jou! Catawiki is het meest bezochte online platform in europa voor bijzondere objecten geselecteerd do,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-glas-en-kristal/a1509863836-goebel-alphonse-mucha-pot-vaas-the-moon-the-stars,Eergisteren,No usage,Goebel,Alphonse Mucha Pot Vaas The Moon & The Stars,Eergisteren
De herfst - Alphonse Mucha - 148 x 74 cm - Exclusief Gobelin,"€ 150,00","Dompel jezelf onder in de tijdloze schoonheid van ons wandtapijt in middeleeuwse stijl, geïnspireerd op de prachtige werken van al",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509807855-de-herfst-alphonse-mucha-148-x-74-cm-exclusief-gobelin,Eergisteren,No usage,Unknown,De herfst,Eergisteren
"Spiegel - Glas, Hout - Naar Alfons Mucha","€ 3,00",Hét online veilinghuis voor jou! Catawiki is het meest bezochte online platform in europa voor bijzondere objecten geselecteerd do,https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509864050-spiegel-glas-hout-naar-alfons-mucha,Eergisteren,No usage,Unknown,"Glas, Hout - Naar Alfons Mucha",Eergisteren
Hutschenreuther - Mucha - Wandbord - Keramiek - De,"€ 5,00","Alfons mucha (naar) de seizoenen: “de winter” hutschenreuther duitsland uitstekende staat zoals weergegeven op de foto, verzending",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509826080-hutschenreuther-mucha-wandbord-keramiek-de,Eergisteren,No usage,Hutschenreuther,Mucha,Eergisteren
Hutschenreuther - Mucha - Wandbord - Keramiek - De,"€ 15,00","Alfons mucha (naar) de seizoenen: “de lente” hutschenreuther duitsland uitstekende staat zoals weergegeven op de foto, verzending",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509826070-hutschenreuther-mucha-wandbord-keramiek-de,Eergisteren,No usage,Hutschenreuther,Mucha - Wandbord - Keramiek - De,Eergisteren
Hutschenreuther - Mucha - Wandbord - Keramiek - De,"€ 15,00","Alfons mucha (naar) de seizoenen: “de herfst” hutschenreuther duitsland uitstekende staat zoals weergegeven op de foto, verzending",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509826049-hutschenreuther-mucha-wandbord-keramiek-de,Eergisteren,No usage,Hutschenreuther,Mucha - Wandbord,Eergisteren
Alpaca Jacquard TAPESTRY met herten in de sneeuw - 185x140cm,"€ 15,00",Bent u op zoek naar een wandtapijt met uitstekende eigenschappen? Dit is voor u! Speciaal gemaakt voor het bedrijf artmaison met u,https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509826000-alpaca-jacquard-tapestry-met-herten-in-de-sneeuw-185x140cm,Eergisteren,No usage,artmaison,Alpaca Jacquard Tapestry,Eergisteren
[Alfons Mucha] Cloches de Noël et de Pâques 1900 1/252 ex.,Zie omschrijving,"Paperback. Gebhart, emile. Cloches de noël et de pâques. Paris: f. Champenois – h. Piazza et cie., 1900. (6), 80, (2) Blz. Formaat",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-boeken-en-bijbels/m2223626636-alfons-mucha-cloches-de-noel-et-de-paques-1900-1-252-ex,Eergisteren,Ophalen of Verzenden,Gebhart,Cloches de Noël et de Pâques,Eergisteren
STOF Liberty Original vintage Exclusief Design - 600x140cm -,"€ 10,00",Exclusieve art deco 100% katoenen stof van uitstekende gecertificeerde kwaliteit. Gemiddeld gewicht van 215 gram. Vierkante meter.,https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509875239-stof-liberty-original-vintage-exclusief-design-600x140cm,Eergisteren,No usage,STOF,Liberty Original,Eergisteren
ALPHONSE MUCHA Zodiac ad Metalen Wandbord Poster,"€ 10,95","- alphonse mucha - prachtig art nouveau metalen bord ! - Ca 20 x 31 cm - 4 gaatjes makkelijk te bevestigen - verzendkosten koper,",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-overige-kunst/m2223350366-alphonse-mucha-zodiac-ad-metalen-wandbord-poster,14 jan 25,Verzenden,Alphonse Mucha,Zodiac,14 jan 25
Exclusieve Gobelin-stof van de hoogste kwaliteit -,"€ 150,00","Fantastische vrolijke gobelin stof, zeer hoge kwaliteit en zeer zwaar, met jungle fantasiepatroon, op beige achtergrond. Op het ee",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509864204-exclusieve-gobelin-stof-van-de-hoogste-kwaliteit,14 jan 25,No usage,Unknown,Unknown,14 jan 25
ALPHONSE MUCHA Fruit Jugendstil Metalen Wandbord poster,"€ 10,95",Alphonse mucha - fruit prachtig nostalgisch metalen wandbord ca 20 x 31 cm - 4 gaatjes makkelijk te bevestigen verpakking en verze,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-tekeningen-en-foto-s/m2223574528-alphonse-mucha-fruit-jugendstil-metalen-wandbord-poster,Eergisteren,Verzenden,Unknown,Fruit,Eergisteren
Exclusieve set realistische Antieke Bibliotheekkussens -,"€ 28,00",Exclusieve set van twee kussens gemaakt met originele meubelstof. Eén van de meest bijzondere representaties van een originele ant,https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509635784-exclusieve-set-realistische-antieke-bibliotheekkussens,Eergisteren,No usage,Unknown,Unknown,Eergisteren
ALPHONSE MUCHA NESTLE Jugendstil Metalen Wandbord poster,"€ 10,95",Alphonse mucha prachtig nostalgisch metalen wandbord ca 20 x 31 cm - 4 gaatjes makkelijk te bevestigen verpakking en verzendkosten,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-overige-kunst/m2223575642-alphonse-mucha-nestle-jugendstil-metalen-wandbord-poster,Eergisteren,Verzenden,Unknown,Nestle Jugendstil Metalen Wandbord,Eergisteren
