Title,Price,Description,Link,Date,Usage
Zeer veel Antieke kasten | Op kleur gemaakt | uitneembaar,Op aanvraag,Deze kast is een van de vele kasten welke bij ons in de hal staan. Professioneel schoongemaakt en je kunt zelf de inhoud en kleur,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-kasten/a1451935144-zeer-veel-antieke-kasten-op-kleur-gemaakt-uitneembaar,Vandaag,No usage
"Staande lamp - Metaal, Stof - vintage vloerlamp","€ 3,00","Mooie vintage vloerlamp, duitsland, jaren 60-70.r r de kap is verstelbaar in hoogte doordat deze hoger of lager langs de stang vas",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1510115346-staande-lamp-metaal-stof-vintage-vloerlamp,Vandaag,No usage
Plaatsnaambord met eigen plaatsnaam in vintage / retro stijl,"€ 35,00","Een oud plaatsnaambord van je eigen woonplaats aan de muur? Door de verweerde stijl, het roesteffect en het oude lettertype krijgt",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-wandborden-en-tegels/a1488085740-plaatsnaambord-met-eigen-plaatsnaam-in-vintage-retro-stijl,Vandaag,Verzenden
GEVRAAGD OUDE BERKEL SNIJMACHINE VLEESSNIJMACHINE HANDWIEL,Zie omschrijving,Te koop gevraagd / gezocht oude berkel vlees snijmachines snijmachine vleessnijmachines vleessnijmachine vleesmachine snij machine,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-keukenbenodigdheden/a1479738494-gevraagd-oude-berkel-snijmachine-vleessnijmachine-handwiel,Vandaag,No usage
Te koop gevraagd,Zie omschrijving,"Te koop gevraagd. Antieke landkaarten, gravures, prenten, boeken, atlassen 17-de, 18-de, 19-de eeuw. Stuur een foto naar pwj.bremm",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-etsen-en-gravures/a1476121207-te-koop-gevraagd,Vandaag,Ophalen of Verzenden
Historisch WAPEN,"€ 165,00",Antieke degen/rapier. Prachtige greep met messing 'brilletje' en een klinglengte van 85 cm. Met inscriptie; solingen en f.,https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/m2227363539-historisch-wapen,Vandaag,Ophalen
Zeer veel Antieke kasten | Op kleur gemaakt | uitneembaar,Op aanvraag,Deze kast is een van de vele kasten welke bij ons in de hal staan. Professioneel schoongemaakt en je kunt zelf de inhoud en kleur,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-kasten/a1451935144-zeer-veel-antieke-kasten-op-kleur-gemaakt-uitneembaar,Vandaag,No usage
Zeer veel antieke kasten | Op maat gemaakt | uitneembaar,N.o.t.k.,Al tientallen jaren is het inboedelhuis gespecialiseerd in het renoveren van antiek. Wij selecteren deze zelf om met zekerheid hog,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-kasten/a1435146605-zeer-veel-antieke-kasten-op-maat-gemaakt-uitneembaar,Vandaag,No usage
"Staande lamp - Metaal, Stof - vintage vloerlamp","€ 3,00","Mooie vintage vloerlamp, duitsland, jaren 60-70.r r de kap is verstelbaar in hoogte doordat deze hoger of lager langs de stang vas",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1510115346-staande-lamp-metaal-stof-vintage-vloerlamp,Vandaag,No usage
"Veel brocante kledingkasten, oude kast, vintage kast, Buffet",N.o.t.k.,"Zoekt u een unieke kast of meubelstuk voor uw interieur? Wij verkopen goede, kwalitatieve en duurzame meubels van 120 jaar oud. Wi",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-kasten/a1000367052-veel-brocante-kledingkasten-oude-kast-vintage-kast-buffet,Vandaag,No usage
Antieke eettafel rustieke werktafel kastanjehout 68x170 cm,"€ 475,00",Mooie primitieve tafel uit frankrijk in een goede conditie. Periode 1930/1950. De tafel is geheel uitgevoerd in kastanjehout. Past,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-tafels/m2227199314-antieke-eettafel-rustieke-werktafel-kastanjehout-68x170-cm,Vandaag,Ophalen of Verzenden
Plaatsnaambord met eigen plaatsnaam in vintage / retro stijl,"€ 35,00","Een oud plaatsnaambord van je eigen woonplaats aan de muur? Door de verweerde stijl, het roesteffect en het oude lettertype krijgt",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-wandborden-en-tegels/a1488085740-plaatsnaambord-met-eigen-plaatsnaam-in-vintage-retro-stijl,Vandaag,Verzenden
Royal Albert - Koffieservies (6) - Porselein - Merry England,"€ 44,00","Royal albert- provincial rose en merry england series , 6 sets koffie/ theekop en schotels geproduceerd in engeland, 1975-2001 pro",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-tafels/a1510010693-royal-albert-koffieservies-6-porselein-merry-england,Vandaag,No usage
Antieke brons salontafel (Art-Nouveau),"€ 500,00",Een antieke art nouveau salontafel met een naakte dame in brons die een glasplaat draagt. De tafel is ruim 60 jaar in mijn bezit -,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-tafels/m2224854274-antieke-brons-salontafel-art-nouveau,Vandaag,Ophalen
Le Creuset - Keukencontainer - Gietijzer,"€ 24,00","Nieuwe le creuset gietijzeren ovale braadpan - ovenrood, 31 cm (6,3 l) beschrijving: aangeboden een originele ovale gietijzeren br",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-keukenbenodigdheden/a1510078381-le-creuset-keukencontainer-gietijzer,Vandaag,No usage
