Title,Price,Description,Link,Date,Usage
"Tafellamp - Dragonfly - Glas-in-lood, legering - Tiffany","€ 60,00",Zeer mooie lamp voorzien van prachtig gekleurd tiffany glas in lood rondom versierd met glazen kralen en de welkbekende libellen.,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509618581-tafellamp-dragonfly-glas-in-lood-legering-tiffany,Vandaag,No usage
Dienblad - Serveerblad - Presenteerblad - Art Deco -,"€ 55,00","Een prachtig, zeldzaam dienblad uit de art nouveau / jugendstil periode. Hij is gemaakt van porselein en heeft een floraal decor.",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509704107-dienblad-serveerblad-presenteerblad-art-deco,Vandaag,No usage
"Alphonse Mucha (après) - Wandspiegel (4)- De Seizoenen,","€ 340,00","Wandspiegels (4) - ""the seasons"", alphonse mucha. Deze prachtige dames zijn ""the seasons"" uit de ""vitraux",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509702330-alphonse-mucha-apres-wandspiegel-4-de-seizoenen,Vandaag,No usage
"Spiegel (4) - Glas, Hout - Naar Alfons Mucha","€ 450,00","Decoratieve wandspiegels in glas-in-lood formaat, behorend tot de serie ""de fasen van de dag"" van meester alphonse mucha",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509726397-spiegel-4-glas-hout-naar-alfons-mucha,Vandaag,No usage
"Vitrinekast - Venetiaanse - Glas, Goud, Hout - Zwart en","€ 220,00","Unieke en elegante venetiaanse vitrine van zwart en bladgoud, displaystandaard, prikbord, boekenkast, dressoir, ladekast, kolom, k",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509773799-vitrinekast-venetiaanse-glas-goud-hout-zwart-en,Vandaag,No usage
"Tafellamp - Dragonfly - Glas-in-lood, legering - Tiffany","€ 60,00",Zeer mooie lamp voorzien van prachtig gekleurd tiffany glas in lood rondom versierd met glazen kralen en de welkbekende libellen.,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509618581-tafellamp-dragonfly-glas-in-lood-legering-tiffany,Vandaag,No usage
Castilian porcelain and bronze art nouveau,Bieden,Castilian porcelain & bronze art nouveau. Merk: j-b-t anno 1906 castiliaanse decoratieve dekselpot. Dikke porseleinen pot met,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-woonaccessoires/m2222378760-castilian-porcelain-and-bronze-art-nouveau,Vandaag,Ophalen of Verzenden
Dienblad - Serveerblad - Presenteerblad - Art Deco -,"€ 55,00","Een prachtig, zeldzaam dienblad uit de art nouveau / jugendstil periode. Hij is gemaakt van porselein en heeft een floraal decor.",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509704107-dienblad-serveerblad-presenteerblad-art-deco,Vandaag,No usage
"Alphonse Mucha (après) - Wandspiegel (4)- De Seizoenen,","€ 340,00","Wandspiegels (4) - ""the seasons"", alphonse mucha. Deze prachtige dames zijn ""the seasons"" uit de ""vitraux",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509702330-alphonse-mucha-apres-wandspiegel-4-de-seizoenen,Vandaag,No usage
"Spiegel (4) - Glas, Hout - Naar Alfons Mucha","€ 450,00","Decoratieve wandspiegels in glas-in-lood formaat, behorend tot de serie ""de fasen van de dag"" van meester alphonse mucha",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509726397-spiegel-4-glas-hout-naar-alfons-mucha,Vandaag,No usage
antiek art nouveau beeld gemerkt p.c.s deposé uit jaren 20,Bieden,Zeer mooie antiek art nouveau beeld gemerkt p.c.s deposé beeld is rond 1900 gemaakt door een bekende kunstenaar. Materiaal gips me,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-woonaccessoires/m2224383316-antiek-art-nouveau-beeld-gemerkt-p-c-s-depose-uit-jaren-20,Vandaag,Verzenden
"Vitrinekast - Venetiaanse - Glas, Goud, Hout - Zwart en","€ 220,00","Unieke en elegante venetiaanse vitrine van zwart en bladgoud, displaystandaard, prikbord, boekenkast, dressoir, ladekast, kolom, k",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509773799-vitrinekast-venetiaanse-glas-goud-hout-zwart-en,Vandaag,No usage
Art Nouveau wandlamp,Bieden,Prachtig art-nouveau vintage wandlamp met bloemvormig kelkje/kapje. ✧Conditie: heel goed ✧massief ✧let op: vintage lichtwerk ✧gema,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-lampen/m2223915333-art-nouveau-wandlamp,Gisteren,Ophalen of Verzenden
