Title,Price,Description,Link,Date,Usage
Gevraagd: origineel werk van M.C. Escher,N.o.t.k.,Het veilen van werk van m.c. Escher (1898-1972) is al jarenlang een belangrijke specialisatie van ons veilinghuis. Het feit dat we,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-overige-kunst/a1373152284-gevraagd-origineel-werk-van-m-c-escher,Vandaag,No usage
M.C. Escher (1898-1972) - Main avec globe réfléchissant,"€ 500,00","M.c.escher (1898-1972) hand met reflecterende wereldbol, 2008 facsimile van de originele houtsnede uit 1935 gesigneerd in de plaat",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509852143-m-c-escher-1898-1972-main-avec-globe-reflechissant,Vandaag,No usage
"Escher worden (9789045047980, Joris Escher)","€ 20,99",Escher worden uitgeverij: atlas contact isbn: 9789045047980 in een negentiende-eeuwse chinese lakdoos met ivoren puzzels vindt jor,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-boeken-en-bijbels/a1510030833-escher-worden-9789045047980-joris-escher,Vandaag,Verzenden
"M.C. Escher (1898-1972), after - Relativity","€ 66,00","- m.c. Escher (naar), geautoriseerde offset op glad papier (circa 170 g/m²). Jaren 2000 - afmeting: 55 x 65 cm. - Copyright de m.c",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509935820-m-c-escher-1898-1972-after-relativity,Vandaag,No usage
"M.C. Escher (1898-1972), after - Lucht en water","€ 50,00",Vintage( after)lucht en water origineel gemaakt door de nederlandse kunstenaar m.c escher heirs gesigneerd in de plaat gemaakt op,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509952136-m-c-escher-1898-1972-after-lucht-en-water,Vandaag,No usage
M.C. Escher,Zie omschrijving,M.c. Escher ingelijst afmeting ca 63 x 58 cm gesigneerd in de plaat niet genummerd ophalen of verzenden zie ook mijn anhderen wer,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-schilderijen-klassiek/m2226739987-m-c-escher,Vandaag,Ophalen
Gevraagd: origineel werk van M.C. Escher,N.o.t.k.,Het veilen van werk van m.c. Escher (1898-1972) is al jarenlang een belangrijke specialisatie van ons veilinghuis. Het feit dat we,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-overige-kunst/a1373152284-gevraagd-origineel-werk-van-m-c-escher,Vandaag,No usage
M.C. Escher (1898-1972) - Main avec globe réfléchissant,"€ 500,00","M.c.escher (1898-1972) hand met reflecterende wereldbol, 2008 facsimile van de originele houtsnede uit 1935 gesigneerd in de plaat",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509852143-m-c-escher-1898-1972-main-avec-globe-reflechissant,20 jan 25,No usage
Escher 3 reproducties,"€ 50,00","Ik verkoop deze 3 reproducties van escher, wegens een verhuizing heb ik er geen ruimte meer voor. Ze zijn ingelijst in een alumini",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-tekeningen-en-foto-s/m2223318752-escher-3-reproducties,14 jan 25,Ophalen
"M.C. Escher (1898-1972), after - Relativity","€ 66,00","- m.c. Escher (naar), geautoriseerde offset op glad papier (circa 170 g/m²). Jaren 2000 - afmeting: 55 x 65 cm. - Copyright de m.c",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509935820-m-c-escher-1898-1972-after-relativity,20 jan 25,No usage
