Title,Price,Description,Link,Date,Usage
Fatbike v20 pro,"€ 699,99","Nieuwe fatbike v20 pro superstunt! Op voorraad en direct leverbaar het nieuwste model v20 pro fatbike, optimaal uitgerust met de n",https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/a1507405046-fatbike-v20-pro,Vandaag,Nieuw
Sparta F8E in zeer nette staat!,"€ 699,00",Sparta elektrische fiets met krachtige motor! De fiets heeft net een onderhoudsbeurt gehad waarbij deze geheel is nagekeken. 500Wh,https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/a1509749687-sparta-f8e-in-zeer-nette-staat,Vandaag,Nieuw
"Fatbike | Ouxi C80, H9, V8 Pro | Qmwheel V20 Pro | Garantie","€ 650,00",De v20 pro 8.0 2025 En ouxi h9/v8 4.0 Pro 2025 modellen met hydraulische remmen. Kom ze vandaag nog halen of bekijken direct uit v,https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/a1498661835-fatbike-ouxi-c80-h9-v8-pro-qmwheel-v20-pro-garantie,Vandaag,Nieuw
Fatbike LET OP HYDRAULISCH REMMEN V8 V20 XXL H9 V20 V8 Pro,"€ 499,00","Let op: onze fatbikes zijn uitgevoerd met hydraulische remmen, meeste aangeboden fatbikes zijn mechanische remmen (kabelremmen ipv",https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/a1505561513-fatbike-let-op-hydraulisch-remmen-v8-v20-xxl-h9-v20-v8-pro,Vandaag,Nieuw
"Thompson, Impera, Comfort Belt, Bosch Motor, E-Bike, Elektri",Zie omschrijving,"Ervaar het gemak en de kracht van fietsen met onze hoogwaardige e-bikes. Of je nu lange afstanden wilt ondernemen, heuvels wilt tr",https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/a1509676016-thompson-impera-comfort-belt-bosch-motor-e-bike-elektri,Vandaag,Nieuw
Fatbike v20 pro,"€ 699,99","Nieuwe fatbike v20 pro superstunt! Op voorraad en direct leverbaar het nieuwste model v20 pro fatbike, optimaal uitgerust met de n",https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/a1507405046-fatbike-v20-pro,Vandaag,Nieuw
2 elektrische fietsen van Sparta ion.,"€ 130,00",2 sparta ion elektrische fietsen. Voor de handige persoon . Zilver/blauw. Zilver/zwart. De blauwe werd gebruikt alleen achter band,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-dames-omafietsen/m2224069331-2-elektrische-fietsen-van-sparta-ion,Vandaag,Gebruikt
"Fatbike | Ouxi C80, H9, V8 Pro | Qmwheel V20 Pro | Garantie","€ 650,00",De v20 pro 8.0 2025 En ouxi h9/v8 4.0 Pro 2025 modellen met hydraulische remmen. Kom ze vandaag nog halen of bekijken direct uit v,https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/a1498661835-fatbike-ouxi-c80-h9-v8-pro-qmwheel-v20-pro-garantie,Vandaag,Nieuw
Gazelle Montreux limeted dames fiets z.g.a.n. frame maat 53,Bieden,"Keurig nette top dames fiets - gazelle montreux limeted uitgave van toen compleet met slot, zadel tas en fiets tassen. 8 Versnelli",https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-dames-damesfietsen/m2222455131-gazelle-montreux-limeted-dames-fiets-z-g-a-n-frame-maat-53,Vandaag,Zo goed als nieuw
Sparta F8E in zeer nette staat!,"€ 699,00",Sparta elektrische fiets met krachtige motor! De fiets heeft net een onderhoudsbeurt gehad waarbij deze geheel is nagekeken. 500Wh,https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/a1509749687-sparta-f8e-in-zeer-nette-staat,Vandaag,Nieuw
Meisjes kinderfiets roze 16 inch,"€ 99,00",In uitstekende staat! Zijwieltjes aanwezig maar nooit gebruikt. Gied profiel op banden. Remmen in orde. Nagekeken door fietsenmake,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-kinderfietsjes/m2224290245-meisjes-kinderfiets-roze-16-inch,Vandaag,Zo goed als nieuw
Fatbike LET OP HYDRAULISCH REMMEN V8 V20 XXL H9 V20 V8 Pro,"€ 499,00","Let op: onze fatbikes zijn uitgevoerd met hydraulische remmen, meeste aangeboden fatbikes zijn mechanische remmen (kabelremmen ipv",https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/a1505561513-fatbike-let-op-hydraulisch-remmen-v8-v20-xxl-h9-v20-v8-pro,Vandaag,Nieuw
Sparta Marathon 3V in nieuwstaat.,"€ 175,00",Vrijwel nieuwe super mooie sparta marathon slechts 1 week gebruikt.  De fiets is uitgevoerd met roller brakes 3 versnellingen dyn,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-dames-damesfietsen/m2222515026-sparta-marathon-3v-in-nieuwstaat,Vandaag,Zo goed als nieuw
Gazelle miss grace elektrische fiets framemaat 54.,Bieden,Zeer nette gazelle miss grace elektrische fiets framemaat 54 met gouden accu in goede conditie km stand is 298km zit net een nieuw,https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/m2224181285-gazelle-miss-grace-elektrische-fiets-framemaat-54,Vandaag,Zo goed als nieuw
"Thompson, Impera, Comfort Belt, Bosch Motor, E-Bike, Elektri",Zie omschrijving,"Ervaar het gemak en de kracht van fietsen met onze hoogwaardige e-bikes. Of je nu lange afstanden wilt ondernemen, heuvels wilt tr",https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/a1509676016-thompson-impera-comfort-belt-bosch-motor-e-bike-elektri,Vandaag,Nieuw
Partije elektrische fietsen gezocht!!,Zie omschrijving,Goed de advertentie lezen voor u reageert! Wij zijn op zoek naar 2 soorten elektrische fietsen. 1: Defecte elektrische fietsen met,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-dames-damesfietsen/m2223416845-partije-elektrische-fietsen-gezocht,Vandaag,Gebruikt
NIEUW! Batavus Fuze e-go elektrische fiets,"€ 1.299,00",In complete nieuwstaat batavus elektrische fiets met krachtige bosch middenmotor! De fiets heeft net een onderhoudsbeurt gehad waa,https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/a1509521949-nieuw-batavus-fuze-e-go-elektrische-fiets,Vandaag,Nieuw
Meiden fiets,Bieden,Bon aanwezig. Zo goed als nieuw. De alpina mood is een fiets voor de echte fashionista. Dit spiksplinternieuwe model van alpina he,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-meisjes/m2223106822-meiden-fiets,Vandaag,Gebruikt
Sparta 28 inch (alle fietsen €70!),"€ 70,00","🇳🇱goeiedag, wij zijn twee jongens uit amsterdam die grote partij fietsen inkopen ,indien nodig opknappen, en weer verkopen. Alle",https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-dames-damesfietsen/m2218392902-sparta-28-inch-alle-fietsen-70,Vandaag,Gebruikt
Elektrische fiets Vogue Basic N3 468 Wh,Bieden,"Vogue basic n3 468 wh framemaat: 50 cm kleur: zwart/bruin t.w.v. € 1000,-  i.v.m. De aanschaf van een nieuwe scooter doen wij",https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/m2221881448-elektrische-fiets-vogue-basic-n3-468-wh,Vandaag,Nieuw
NIEUW! Batavus Fuze e-go elektrische fiets,"€ 1.299,00",In complete nieuwstaat batavus elektrische fiets met krachtige bosch middenmotor! De fiets heeft net een onderhoudsbeurt gehad waa,https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/a1509521949-nieuw-batavus-fuze-e-go-elektrische-fiets,Vandaag,Nieuw
Super Deal! Fatbike V20 PRO 7.0 2025 - Zwart,"€ 749,00","De fatbike die voldoet aan alle regels, zonder gedoe! Best beoordeeld op bol.com en beste prijs-kwaliteitverhouding in nederland!",https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/a1507899373-super-deal-fatbike-v20-pro-7-0-2025-zwart,Vandaag,Nieuw
Fatbike OUXI V8 / H9 / V20Pro | ALARM | Garantie & Bezorging,"€ 599,00",Goedkoopste fatbikes in nederland. Levering binnen 24 uur! Met 1 jaar garantie en aankoopbewijs! Whatsapp of bellen: +31 6 13 18 2,https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/a1503288807-fatbike-ouxi-v8-h9-v20pro-alarm-garantie-bezorging,Vandaag,Nieuw
GAZELLE DAMESFIETS 28 INCH (ALLE FIETSEN €70!),"€ 70,00","🇳🇱 goeiedag, wij zijn twee jongens uit amsterdam die grote partij fietsen inkopen ,indien nodig opknappen, en weer verkopen. All",https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-dames-damesfietsen/m2218702111-gazelle-damesfiets-28-inch-alle-fietsen-70,Vandaag,Gebruikt
Tweedehands fiets met terugtraprem – uit onze leasevloot!,"€ 119,00",Ben je op zoek naar een betrouwbare fiets? Easyfiets in leiden biedt tweedehands fietsen uit onze leasevloot aan. Deze tweedehands,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-dames-damesfietsen/a1508930143-tweedehands-fiets-met-terugtraprem-uit-onze-leasevloot,Vandaag,Gebruikt
Partij Elektrische fietsen gazelle en meer,Bieden,7 gazelle fietsen niet compleet 3 ion sparta batavus zonder accu’s voor de rest compleet 2 sparta rx niet werkend kortom fietsen v,https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/m2222266086-partij-elektrische-fietsen-gazelle-en-meer,Vandaag,Gebruikt
Fiets framemaat 52 cm,"€ 65,00","Kleine jongens worden groot… en voor je het weet, is het tijd dat ze niet meer fietsen, maar de auto van papa meenemen! Maar voord",https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-heren-herenfietsen/m2221115891-fiets-framemaat-52-cm,Vandaag,Gebruikt
Zwarte cortina U4 meisjesfiets 24INCH 3 versnellingen,"€ 325,00",Nette cortina u4 meisjesfiets 24inch een transportfiets met: - nexus 3 versnellingen.. - Terugtraprem - 24nch inch wielmaat - fram,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-meisjes/m2224315229-zwarte-cortina-u4-meisjesfiets-24inch-3-versnellingen,Vandaag,Zo goed als nieuw
Oma fietsen damesfietsen herenfietsen vanaf 99euro,"€ 99,00",Bent u zoek na een nette fiets voor een goede prijs dan bent u bij onze fietsenwinkel aan het juiste adres . Wij hebben een ruim a,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-dames-omafietsen/m2218604603-oma-fietsen-damesfietsen-herenfietsen-vanaf-99euro,Vandaag,Zo goed als nieuw
2 Mooie Elektrische Fietsen,"€ 1.350,00",Deze bijna nieuwe elektrische fietsen kunnen overgenomen tegen elk aannemelijk bod. Fietsen aangeschaft afgelopen jaar in augustus,https://www.marktplaats.nl/v/fietsen-en-brommers/elektrische-fietsen/m2224387404-2-mooie-elektrische-fietsen,Vandaag,Zo goed als nieuw
VanMoof Electrified S2,Bieden,Vanmoof fiets s2 te koop. Helaas met error 16. Zie foto. Verder in uitstekende gebruikte staat. Accu vervangen in 2022. Voor ieman,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-heren-herenfietsen/m2222160614-vanmoof-electrified-s2,Vandaag,Gebruikt
ALLE DAMESFIETSEN 70€!,"€ 70,00","🇳🇱goeiedag, wij zijn twee jongens uit amsterdam die grote partij fietsen inkopen ,indien nodig opknappen, en weer verkopen. Alle",https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-dames-damesfietsen/m2218394866-alle-damesfietsen-70,Vandaag,Gebruikt
Kawasaki jongens,Bieden,Ik verkoop dit omdat mijn kleinkinderen er te groot voor zijn. Prima conditie. Banden en remmen uitstekend. Helemaal netjes opgekn,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-bakfietsen/m2224099939-kawasaki-jongens,Vandaag,Gebruikt
