Title,Price,Description,Link,Date,Usage
SALE! Refurbished laptops vanaf 199 inclusief Windows 11 PRO,"€ 199,00",Sale aanbieding! Bent u op zoek naar een goed werkende en betrouwbare laptop die nog jaren mee gaat? Profiteer nu van onze aanbied,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1445673128-sale-refurbished-laptops-vanaf-199-inclusief-windows-11-pro,Vandaag,Zo goed als nieuw
HP Color Laser 150nw Printers,"€ 100,00",Extra info: nieuwstaat zonder toners dit product is een retour binnen de bedenktijd van 30 dagen dus zou gebruikt kunnen zijn. Spe,https://www.marktplaats.nl/v/computers-en-software/printers/a1510746472-hp-color-laser-150nw-printers,Vandaag,Nieuw
"Diverse Dell & HP PCs, Core i5-i7 512GB+ 16GB+ W11 PRO","€ 259,00","Voor een jong gebruikt ( refurbished ) laptop of systeem net core i5, i7 of amd ryzen gaat u naar www.tvdlcomputers.nl, wij bieden",https://www.marktplaats.nl/v/computers-en-software/desktop-pc-s/a1506261145-diverse-dell-hp-pcs-core-i5-i7-512gb-16gb-w11-pro,Vandaag,Refurbished
"Cisco, Juniper, HP, Servers en andere (gebruikte) Hardware!",N.o.t.k.,"Heeft u nog cisco, hp procurve, juniper, emc, ibm, avaya of andere netwerk apparatuur of servers liggen die u kwijt wilt? Easy har",https://www.marktplaats.nl/v/computers-en-software/netwerk-switches/a1001553734-cisco-juniper-hp-servers-en-andere-gebruikte-hardware,Vandaag,Gebruikt
"Laptop: HP EliteBook 850 G5 - Intel i7, 8GB RAM, 128GB SSD","€ 299,00","Waarom kiezen voor de hp elitebook 850 g5? De hp elitebook 850 g5 is een krachtige en betrouwbare laptop, ontworpen voor professio",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1510310193-laptop-hp-elitebook-850-g5-intel-i7-8gb-ram-128gb-ssd,Vandaag,Refurbished
SALE! Refurbished laptops vanaf 199 inclusief Windows 11 PRO,"€ 199,00",Sale aanbieding! Bent u op zoek naar een goed werkende en betrouwbare laptop die nog jaren mee gaat? Profiteer nu van onze aanbied,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1445673128-sale-refurbished-laptops-vanaf-199-inclusief-windows-11-pro,Vandaag,Zo goed als nieuw
"SALE !! HP EliteDesks vanaf € 199,- met Windows 11 PRO","€ 199,00",Sale : op zoek naar een krachtige en betrouwbare pc voor een scherpe prijs? Bij hardware4sale bieden wij refurbished hp elitedesk&,https://www.marktplaats.nl/v/computers-en-software/desktop-pc-s/a1506822229-sale-hp-elitedesks-vanaf-199-met-windows-11-pro,Vandaag,Zo goed als nieuw
"HP Elitebook 830 G5 Core i5 16GB RAM 256GB SSD 13""3","€ 249,00","Te koop hp elitebook 830 g5 i5 8th generatie laptop. (Heb er 2 van, 1 met klein plekje die mag iets goedkoper weg) processor type:",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/m2234369053-hp-elitebook-830-g5-core-i5-16gb-ram-256gb-ssd-13-3,Vandaag,Zo goed als nieuw
SALE! Refurbished HP Elitebook vanaf 199 euro inclusief W11,"€ 199,00",Sale aanbiedingen!!! In bijna nieuw staat verkerende super snelle hp elitebook 840 (14 inch) | 830 (13 inch) | 850 (15 inch) alle,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1431548260-sale-refurbished-hp-elitebook-vanaf-199-euro-inclusief-w11,Vandaag,Zo goed als nieuw
HP Elitebook 840 G7 Full options 1/3 van de nieuw prijs,"€ 389,00","Te gekke sale aanbieding, een ""nieuwe"" hp elitebook 840 g7 bij hardware4sale. Perfecte prijs, en in absolute perfecte st",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1500257160-hp-elitebook-840-g7-full-options-1-3-van-de-nieuw-prijs,Vandaag,Zo goed als nieuw
