Title,Price,Description,Link,Date,Usage
SALE! Refurbished laptops vanaf 199 inclusief Windows 11 PRO,"€ 199,00",Sale aanbieding! Bent u op zoek naar een goed werkende en betrouwbare laptop die nog jaren mee gaat? Profiteer nu van onze aanbied,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1445673128-sale-refurbished-laptops-vanaf-199-inclusief-windows-11-pro,Vandaag,Zo goed als nieuw
"Diverse Dell & HP PCs, Core i5-i7 512GB+ 16GB+ W11 PRO","€ 259,00","Voor een jong gebruikt ( refurbished ) laptop of systeem net core i5, i7 of amd ryzen gaat u naar www.tvdlcomputers.nl, wij bieden",https://www.marktplaats.nl/v/computers-en-software/desktop-pc-s/a1506261145-diverse-dell-hp-pcs-core-i5-i7-512gb-16gb-w11-pro,Vandaag,Refurbished
"Cisco, Juniper, HP, Servers en andere (gebruikte) Hardware!",N.o.t.k.,"Heeft u nog cisco, hp procurve, juniper, emc, ibm, avaya of andere netwerk apparatuur of servers liggen die u kwijt wilt? Easy har",https://www.marktplaats.nl/v/computers-en-software/netwerk-switches/a1001553734-cisco-juniper-hp-servers-en-andere-gebruikte-hardware,Vandaag,Gebruikt
HP ELITEBOOK 820 G3 CORE I5 6300U 256GB SSD 8GB DDR4 12 W11,"€ 139,99",Hp elitebook 820 g3 intel core | i5-6300u (max. 3.0Ghz) 12.5 Inch hd led 8gb ddr sdram werkgeheugen 256gb ssd m.2 Opslagcapaciteit,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1509394063-hp-elitebook-820-g3-core-i5-6300u-256gb-ssd-8gb-ddr4-12-w11,Vandaag,Refurbished
HP Elitebook 850 G7 | Intel i5 10210U | 8 GB | 256 SSD |,"€ 449,00",Hp elitebook 850 g7 jong gebruikte modellen nog tegen nieuwstaat aan! Enkele minimale krasjes op de buitenkant intel i5 10210u 8 g,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1459412235-hp-elitebook-850-g7-intel-i5-10210u-8-gb-256-ssd,Vandaag,Zo goed als nieuw
SALE! Refurbished laptops vanaf 199 inclusief Windows 11 PRO,"€ 199,00",Sale aanbieding! Bent u op zoek naar een goed werkende en betrouwbare laptop die nog jaren mee gaat? Profiteer nu van onze aanbied,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1445673128-sale-refurbished-laptops-vanaf-199-inclusief-windows-11-pro,Vandaag,Zo goed als nieuw
SALE! Refurbished HP Elitebook vanaf 199 euro inclusief W11,"€ 199,00",Sale aanbiedingen!!! In bijna nieuw staat verkerende super snelle hp elitebook 840 (14 inch) | 830 (13 inch) | 850 (15 inch) alle,https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1431548260-sale-refurbished-hp-elitebook-vanaf-199-euro-inclusief-w11,Vandaag,Zo goed als nieuw
"SALE !! HP EliteDesks vanaf € 199,- met Windows 11 PRO","€ 199,00",Sale : op zoek naar een krachtige en betrouwbare pc voor een scherpe prijs? Bij hardware4sale bieden wij refurbished hp elitedesk&,https://www.marktplaats.nl/v/computers-en-software/desktop-pc-s/a1506822229-sale-hp-elitedesks-vanaf-199-met-windows-11-pro,Vandaag,Zo goed als nieuw
HP Elitebook 840 G7 Full options 1/3 van de nieuw prijs,"€ 389,00","Te gekke sale aanbieding, een ""nieuwe"" hp elitebook 840 g7 bij hardware4sale. Perfecte prijs, en in absolute perfecte st",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/a1500257160-hp-elitebook-840-g7-full-options-1-3-van-de-nieuw-prijs,Vandaag,Zo goed als nieuw
Laptop Hp Elitebook 850 G5 i5 extra toetsenbord en muis kan.,Bieden,"Hp elitebook 840 g5 intel i5 beeldscherm 14,9inch 256ssd ik verkoop dit omdat ik een laptop wil kopen met een veel groter scherm o",https://www.marktplaats.nl/v/computers-en-software/windows-laptops/m2226001549-laptop-hp-elitebook-850-g5-i5-extra-toetsenbord-en-muis-kan,Vandaag,Zo goed als nieuw
