Title,Price,Description,Link,Date,Usage
Grayna Mucha (XX-XXI) - Bouquet of roses,"€ 32,00",Ik ben geboren in krakau en heb vele jaren als leraar gewerkt. In 1997 besloot ik mijn geleerde beroep te veranderen en mij volled,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-schilderijen-klassiek/a1509628534-grayna-mucha-xx-xxi-bouquet-of-roses,Eergisteren,No usage
"Spiegel (4) - Glas, Hout - Naar Alfons Mucha","€ 450,00","Decoratieve wandspiegels in glas-in-lood formaat, behorend tot de serie ""de fasen van de dag"" van meester alphonse mucha",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509726397-spiegel-4-glas-hout-naar-alfons-mucha,Eergisteren,No usage
After Alphonse Mucha Cabeza Bizantina: Rubia (1897) -,"€ 16,00","Grote paneelwandkapstok met prachtige, elegante en decoratieve weergave van alphonse mucha's werk uit 1897 ""byzantine hea",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509635554-after-alphonse-mucha-cabeza-bizantina-rubia-1897,Eergisteren,No usage
"Mucha, Alphonse (après) - Wandspiegel (4)- The Times of the","€ 280,00","Deze vier juwelen zijn de complete serie ""the times of the day"", getekend door de tsjechische kunstenaar alphonse mucha",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509703894-mucha-alphonse-apres-wandspiegel-4-the-times-of-the,Eergisteren,No usage
Alphonse Mucha (après) - Wandspiegel (4)- The Seasons,"€ 3,00","Complete series ""the seasons"" (alphonse mucha, 1900). Excellent condition! Beautiful original frame. 4 Signed wall mirro",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509878262-alphonse-mucha-apres-wandspiegel-4-the-seasons,Eergisteren,No usage
Grayna Mucha (XX-XXI) - Bouquet of roses,"€ 32,00",Ik ben geboren in krakau en heb vele jaren als leraar gewerkt. In 1997 besloot ik mijn geleerde beroep te veranderen en mij volled,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-schilderijen-klassiek/a1509628534-grayna-mucha-xx-xxi-bouquet-of-roses,Eergisteren,No usage
Alfons Mucha 4 tegels (jugendstil) “De uren van de dag”,Bieden,Alfons much serie van 4 tegels (jugendstil) “de uren van de dag” vier tegels met voorstellingen van de tsjechische kunstenaar alfo,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-wandborden-en-tegels/m2222305698-alfons-mucha-4-tegels-jugendstil-de-uren-van-de-dag,Eergisteren,Ophalen
"Spiegel (4) - Glas, Hout - Naar Alfons Mucha","€ 450,00","Decoratieve wandspiegels in glas-in-lood formaat, behorend tot de serie ""de fasen van de dag"" van meester alphonse mucha",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509726397-spiegel-4-glas-hout-naar-alfons-mucha,Eergisteren,No usage
Reproducties Alphonse Mucha door H. Lacaze,"€ 350,00",Prachtige grote werken120x58 cm gesigneerd op de passepartout. Of het zeefdrukken of steendrukken zijn weet ik niet. Prachtig kwal,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-litho-s-en-zeefdrukken/m2223324198-reproducties-alphonse-mucha-door-h-lacaze,Vandaag,Ophalen
After Alphonse Mucha Cabeza Bizantina: Rubia (1897) -,"€ 16,00","Grote paneelwandkapstok met prachtige, elegante en decoratieve weergave van alphonse mucha's werk uit 1897 ""byzantine hea",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509635554-after-alphonse-mucha-cabeza-bizantina-rubia-1897,Vandaag,No usage
Uniek Alphonse Mucha Wereld Art Nouveau dag Print Poster 10,"€ 27,50",Limited edition print naar werk van alphonse mucha 'lance perfum rodo' = speciaal ter gelegenheid wereld art nouveau = ism,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-litho-s-en-zeefdrukken/m2223569731-uniek-alphonse-mucha-wereld-art-nouveau-dag-print-poster-10,Eergisteren,Verzenden
"Mucha, Alphonse (après) - Wandspiegel (4)- The Times of the","€ 280,00","Deze vier juwelen zijn de complete serie ""the times of the day"", getekend door de tsjechische kunstenaar alphonse mucha",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509703894-mucha-alphonse-apres-wandspiegel-4-the-times-of-the,Eergisteren,No usage
Grote 50x70cm Kunst Poster ALPHONSE MUCHA Art Nouveau .,"€ 24,95","- prijs is inclusief gratis verzending in koker! - Mooie 50x70cm grote poster, klaar om op te hangen! - Nieuw - 170gsm papier - le",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-litho-s-en-zeefdrukken/m2223612415-grote-50x70cm-kunst-poster-alphonse-mucha-art-nouveau,Eergisteren,Verzenden
Alphonse Mucha (après) - Wandspiegel (4)- The Seasons,"€ 3,00","Complete series ""the seasons"" (alphonse mucha, 1900). Excellent condition! Beautiful original frame. 4 Signed wall mirro",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509878262-alphonse-mucha-apres-wandspiegel-4-the-seasons,Eergisteren,No usage
Grote 50x70cm Kunst Poster ALPHONSE MUCHA Art Nouveau ..,"€ 24,95","- prijs is inclusief gratis verzending in koker! - Mooie 50x70cm grote poster, klaar om op te hangen! - Nieuw - 170gsm papier - le",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-litho-s-en-zeefdrukken/m2223612608-grote-50x70cm-kunst-poster-alphonse-mucha-art-nouveau,Eergisteren,Verzenden
De herfst - Alphonse Mucha - 148 x 74 cm - Exclusief Gobelin,"€ 150,00","Dompel jezelf onder in de tijdloze schoonheid van ons wandtapijt in middeleeuwse stijl, geïnspireerd op de prachtige werken van al",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509807855-de-herfst-alphonse-mucha-148-x-74-cm-exclusief-gobelin,Eergisteren,No usage
"Spiegel - Glas, Hout - Naar Alfons Mucha","€ 3,00",Hét online veilinghuis voor jou! Catawiki is het meest bezochte online platform in europa voor bijzondere objecten geselecteerd do,https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509864050-spiegel-glas-hout-naar-alfons-mucha,6 jan 25,No usage
Grote Uniek Alphonse Mucha Art Nouveau dag Poster,"€ 35,00",40x 50 cm incl lijst (werk zelf is ca 30x40 cm) unieke hommage aan alphonse mucha poster incl lijst = speciaal ter gelegenheid van,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-litho-s-en-zeefdrukken/m2223612239-grote-uniek-alphonse-mucha-art-nouveau-dag-poster,Eergisteren,Verzenden
Hutschenreuther - Mucha - Wandbord - Keramiek - De,"€ 5,00","Alfons mucha (naar) de seizoenen: “de winter” hutschenreuther duitsland uitstekende staat zoals weergegeven op de foto, verzending",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509826080-hutschenreuther-mucha-wandbord-keramiek-de,Eergisteren,No usage
Hutschenreuther - Mucha - Wandbord - Keramiek - De,"€ 15,00","Alfons mucha (naar) de seizoenen: “de lente” hutschenreuther duitsland uitstekende staat zoals weergegeven op de foto, verzending",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509826070-hutschenreuther-mucha-wandbord-keramiek-de,30 dec 24,No usage
Hutschenreuther - Mucha - Wandbord - Keramiek - De,"€ 15,00","Alfons mucha (naar) de seizoenen: “de herfst” hutschenreuther duitsland uitstekende staat zoals weergegeven op de foto, verzending",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509826049-hutschenreuther-mucha-wandbord-keramiek-de,8 jan 25,No usage
