Title,Price,Description,Link,Date,Usage,Brand,Model,ClassifiedDate
Professionele reiniging / reparatie van je kinderwagen!,Zie omschrijving,Geef je kinderwagen een tweede leven! Wil je je kinderwagen doorgeven aan vrienden of familie? Of hem in topconditie hebben voor j,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1501957719-professionele-reiniging-reparatie-van-je-kinderwagen,Vandaag,Nieuw,Unknown,Unknown,Vandaag
Redsbaby NUVO Single (Kinderwagen + Bassinet) - Blue Slate,"€ 898,95",De nuvo kinderwagen: de nuvo is ontworpen met toonaangevende functionaliteit en groeit met uw gezin mee in 18 configuraties en bie,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1503703958-redsbaby-nuvo-single-kinderwagen-bassinet-blue-slate,Vandaag,Nieuw,Redsbaby,NUVO,Vandaag
"Kinderwagen onderlegger 100% Merino wol 73cm x 33cm € 17,95","€ 17,95",Raymundus al vele jaren een betrouwbare partner op marktplaats ! Voor 14:00 besteld is de volgende dag geleverd ! Voor vragen kunt,https://www.marktplaats.nl/v/kinderen-en-baby-s/overige-kinderen-en-baby-s/a1321761121-kinderwagen-onderlegger-100-merino-wol-73cm-x-33cm-17-95,Vandaag,Nieuw,Unknown,Unknown,Vandaag
"*SALE-70%* Easy Walker Kinderwagens, Buggy&#39;s &amp; Meer*",Zie omschrijving,"Sale! Kinderwagens, buggy's, voetenzakken & toebehoren tegen outlet prijzen met kortingen tot wel 70%. Stop met teveel bet",https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1450081529-sale-70-easy-walker-kinderwagens-buggy-39-s-amp-meer,Vandaag,Nieuw,Easy Walker,"Kinderwagens, Buggy's & Meer",Vandaag
Joolz Day5 Sage Green kinderwagen met extra korting!,"€ 1.099,00",Nu de joolz day5 sage green kinderwagen met extra korting! Aanbieding geldt voor meerdere kleuren! De joolz day5 wordt geleverd me,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1308399426-joolz-day5-sage-green-kinderwagen-met-extra-korting,Vandaag,Nieuw,Joolz,Day5,Vandaag
Kinderwagen Kinderkraft Complete Set,"€ 120,00","Eenvoudig ouderschap in constante beweging? Het is mogelijk – maak kennis met de kinderkraft, een combi-kinderwagen 2-in-1, gemaak",https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2223660017-kinderwagen-kinderkraft-complete-set,Vandaag,Zo goed als nieuw,Kinderkraft,Complete Set,Vandaag
"kinderwagen, maxicosi en wandelwagen in 1 Nuna",Bieden,De kinderwagen met zitje en maxicosi. Er zijn regenhoesen bij voor de kinderwagen en het zitje. Het zitje is met voetenzak. De kin,No link,Vandaag,Zo goed als nieuw,Nuna,Unknown,Vandaag
Inklapbare compacte driewieler (Doona),"€ 50,00","Een heel handige driewieler voor kids, gemakkelijk mee te nemen omdat deze opvouwbaar is; kant en klaar gemonteerd en direct te ge",No link,Vandaag,Zo goed als nieuw,Doona,Inklapbare compacte driewieler,Vandaag
Bugaboo lynx grey melange compleet met accessoires,Bieden,Mooie lichtgewicht compacte kinderwagen van het merk bugaboo (type lynx) in de kleur grey melange met bijpassende voetenzak en bek,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2222897270-bugaboo-lynx-grey-melange-compleet-met-accessoires,Vandaag,Zo goed als nieuw,Bugaboo,Lynx,Vandaag
Mooie retro Kinderwagen (complete set/3in1)) merk CAM,"€ 150,00","Wij bieden deze mooie, klassieke en complete set van het merk cam il mondo del bambino aan. Ideaal voor een nieuwe baby en groeit",https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2210996238-mooie-retro-kinderwagen-complete-set-3in1-merk-cam,Vandaag,Gebruikt,CAM Il Mondo del Bambino,Unknown,Vandaag
Professionele reiniging / reparatie van je kinderwagen!,Zie omschrijving,Geef je kinderwagen een tweede leven! Wil je je kinderwagen doorgeven aan vrienden of familie? Of hem in topconditie hebben voor j,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1501957719-professionele-reiniging-reparatie-van-je-kinderwagen,Vandaag,Nieuw,Unknown,Unknown,Vandaag
Qunniy zapp flex plus,"€ 75,00",Qunniy zapp flex plus bij de quinny kinderwagen zit twee winter voetenzaken twee regen hoesen een winterkamp voor de buggie en een,https://www.marktplaats.nl/v/kinderen-en-baby-s/buggy-s/m2222940366-qunniy-zapp-flex-plus,Vandaag,Gebruikt,Quinny,Zapp Flex Plus,Vandaag
"Inglesina Trilogy Travel System 4in1, Kinderwagen, autostoel","€ 250,00","Compleet inglesina systeem, in perfecte staat en schoon. Het wordt geleverd met alle veiligheidsaccessoires voor onderweg, in de a",No link,Vandaag,Zo goed als nieuw,Inglesina,Trilogy Travel System 4in1,Vandaag
Joolz Kinderwagen + traveller reistas zwart,"€ 299,00",Volledige set prachtige kinderwagen inclusief 2x gebruikte joolz traveller om de hele kinderwagen veilig als ruimbagage in te kunn,No link,Vandaag,Zo goed als nieuw,Joolz,Kinderwagen + traveller reistas,Vandaag
Uppababy vistaV2 kinderwagen 2023 (Wieg nieuw in verpakking),"€ 750,00",Uppababy vista v2 kinderwagen (2023) zo goed als nieuw wiegdeel nog helemaal nieuw in verpakking. Uppababy vista v2 kinderwagen 2-,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2222089887-uppababy-vistav2-kinderwagen-2023-wieg-nieuw-in-verpakking,Vandaag,Zo goed als nieuw,Uppababy,vistaV2,Vandaag
Cybex Platinum Moschino Jeremy Scott baby blue angels,"€ 650,00","Mooie set can cybex platinum. Het zijn alleen de opzet stukken, de wagen zelf is niet inbegrepen. Inbegrepen is; autostoel, zitwag",https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2222990840-cybex-platinum-moschino-jeremy-scott-baby-blue-angels,Vandaag,Zo goed als nieuw,Cybex,Platinum Moschino Jeremy Scott,Vandaag
Redsbaby NUVO Single (Kinderwagen + Bassinet) - Blue Slate,"€ 898,95",De nuvo kinderwagen: de nuvo is ontworpen met toonaangevende functionaliteit en groeit met uw gezin mee in 18 configuraties en bie,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1503703958-redsbaby-nuvo-single-kinderwagen-bassinet-blue-slate,Vandaag,Nieuw,Redsbaby,NUVO Single,Vandaag
Joolz Geo kinderwagen met alles erop en eraan,"€ 280,00",Een hele mooie joolz kinderwagen. De kinderwagen heeft veel extra’s. De wagen ziet er nog heel mooi uit. De leren handgrepen zijn,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2148889883-joolz-geo-kinderwagen-met-alles-erop-en-eraan,Vandaag,Gebruikt,Joolz,Geo,Vandaag
Cybex Priam rosé gold - z.g.a.n. & compleet met accessoires,"€ 850,00",Hierbij bied ik mijn super mooie cybex kinderwagen aan. Onze dochter is eruit gegroeid. Ik ben er altijd heel zuinig mee geweest.,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2223893226-cybex-priam-rose-gold-z-g-a-n-compleet-met-accessoires,Vandaag,Zo goed als nieuw,Cybex,Priam,Vandaag
Babyzen yoyo 2 compleet incl reiswieg,"€ 500,00",Gekocht in 2021 ipv de gewone kinderwagen. Opvouwbaar en mag mee het vliegtuig in! Zo goed als nieuw. Volgende items zitten erbij:,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2222576472-babyzen-yoyo-2-compleet-incl-reiswieg,Vandaag,Zo goed als nieuw,Babyzen,yoyo 2,Vandaag
Bugaboo fox 5 Nieuwstaat!,"€ 800,00","Bugaboo fox 5 desert taupe kap zwart zitje en ook een zwarte wieg. Geen krassen op het metaal van de buggy, is nog in hele nette s",https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2223770041-bugaboo-fox-5-nieuwstaat,Vandaag,Zo goed als nieuw,Bugaboo,Fox 5,Vandaag
Joolz day grijs + maxicosi pebble plus autostoel en isofix,"€ 595,00","Netjes , schoon en compleet met ; reiswieg + aerosleepmatras buggyzitje voetenzak regenkap maxicosi pebble plus autostoel maxicosi",https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2223695197-joolz-day-grijs-maxicosi-pebble-plus-autostoel-en-isofix,Vandaag,Zo goed als nieuw,Joolz,Day + Maxi-Cosi Pebble Plus,Vandaag
Redsbaby Kinderwagen AERON - Taupe,"€ 598,95",De aeron-kinderwagen: de wendbare en gestroomlijnde aeron is ontworpen voor de stedelijke levensstijl en beschikt over een ongeloo,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1503862681-redsbaby-kinderwagen-aeron-taupe,Vandaag,Nieuw,Redsbaby,AERON,Vandaag
kinderwagen tot 75 % korting op A merken kinderwagens!,"€ 199,00",Eenmalige speciale uitverkoop : tot 75 % korting op a-merken kinderwagens!  (4 In 1) kinderwagens- inclusief 2 jaar garantie wij v,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2015362328-kinderwagen-tot-75-korting-op-a-merken-kinderwagens,11 jan 25,Nieuw,Unknown,Unknown,11 jan 25
Bugaboo Bee 5 Compleet - Blue steel / Staal blauw,"€ 145,00","Bugaboo bee 5 compleet - blue steel / staal. Super fijne en handige en compacte kinderwagen. Wij hebben er veel plezier van gehad,",https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2209865584-bugaboo-bee-5-compleet-blue-steel-staal-blauw,Vandaag,Gebruikt,Bugaboo,Bee 5,Vandaag
Joolz day plus + zwart + nieuwe voetenzak,"€ 675,00","Met wiegje , matras , buggyzitgedeelte, mand , maxicosi autostoel, adapters ,boodschappentas en nieuwe voetenzak ! (Nog niet gebru",https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2222640793-joolz-day-plus-zwart-nieuwe-voetenzak,Vandaag,Zo goed als nieuw,Joolz,day plus,Vandaag
Retro wandelwagen,"€ 25,00",Wandelwagen uit de jaren 90 met grappige kap. Bekleding is compleet en afneembaar en wasbaar. Er zit ook een voetenzak en regenhoe,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/m2210682058-retro-wandelwagen,Vandaag,Gebruikt,Unknown,Unknown,Vandaag
CYBEX E-Priam 4 elektrische kinderwagen Matt zwart,"€ 1.200,00",Cybex e-priam 4 matt black incl. Reiswieg & seat pack en cybex voetenzak. (Elektrische kinderwagen),No link,Vandaag,Zo goed als nieuw,CYBEX,E-Priam 4,Vandaag
Redsbaby Kinderwagen AERON incl COSY Bassinet - Ivy,"€ 817,95",De aeron-kinderwagen: de wendbare en gestroomlijnde aeron is ontworpen voor de stedelijke levensstijl en beschikt over een ongeloo,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1503862683-redsbaby-kinderwagen-aeron-incl-cosy-bassinet-ivy,Vandaag,Nieuw,Redsbaby,AERON,Vandaag
Mutsy 3in1 kinderwagen,Bieden,"3in1 mutsy kinderwagen inclusief adapters regenhoedls en paraplu doe een leuk bod, staat ons nu in de weg ;)",No link,Vandaag,Gebruikt,Mutsy,3in1,Vandaag
Kinderwagen,"€ 180,00",Kinderwagen zo goed als nieuw paar manden gebruikt,No link,Vandaag,Zo goed als nieuw,Unknown,Kinderwagen,Vandaag
Brocante kinderwagen,"€ 55,00",Kinderwagen van uitstekende kwaliteit. Een echte riemersma. Met regencape etc,No link,Vandaag,Ophalen,Riemersma,Unknown,Vandaag
Kinderwagen Titanium Baby 0+,"€ 95,00",Volledig werkende functionele kinderwagen,No link,Vandaag,Gebruikt,Titanium Baby,0+,Vandaag
Kinderwagen kiduku,Bieden,Kinderwagen kiduku maar paar keer gebruikt ik heb een bon van de kinderwagen,No link,Gisteren,Zo goed als nieuw,kiduku,kinderwagen,Gisteren
"Kinderwagen onderlegger 100% Merino wol 73cm x 33cm € 17,95","€ 17,95",Raymundus al vele jaren een betrouwbare partner op marktplaats ! Voor 14:00 besteld is de volgende dag geleverd ! Voor vragen kunt,https://www.marktplaats.nl/v/kinderen-en-baby-s/overige-kinderen-en-baby-s/a1321761121-kinderwagen-onderlegger-100-merino-wol-73cm-x-33cm-17-95,Gisteren,Nieuw,Unknown,Unknown,2023-10-11
Redsbaby Kinderwagen AERON - Taupe,"€ 598,95",De aeron-kinderwagen: de wendbare en gestroomlijnde aeron is ontworpen voor de stedelijke levensstijl en beschikt over een ongeloo,https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1503862681-redsbaby-kinderwagen-aeron-taupe,Gisteren,Nieuw,Redsbaby,AERON,Gisteren
Bugaboo Fox 5 forest green nieuw in doos,"€ 985,00","Bugaboo fox 5 forest green nieuw in doos nieuwe fox 5 wagen compleet met reiswieg, buggy zitting en regenscherm. Nu voor 985,- (no",https://www.marktplaats.nl/v/kinderen-en-baby-s/kinderwagens-en-combinaties/a1509602065-bugaboo-fox-5-forest-green-nieuw-in-doos,Gisteren,Nieuw,Bugaboo,Fox 5 Forest Green,Gisteren
