Title,Price,Description,Link,Date,Usage,Brand,Model,ClassifiedDate
École de Paris (XX) - Une Lettre,"€ 200,00",-olieverf op doek. In overeenstemming met de esthetische postulaten van de naoorlogse ecole de paris worden we geconfronteerd met,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-schilderijen-klassiek/a1509771844-ecole-de-paris-xx-une-lettre,Vandaag,No usage,École de Paris,Une Lettre,Vandaag
A. Couto (XX) - Inagotable Experimentación Formal (A take on,"€ 175,00","- olie aan boord. - Het schilderij met de titel onuitputtelijke formele experimenten van antonio couto, een hedendaagse galicische",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-schilderijen-klassiek/a1509864992-a-couto-xx-inagotable-experimentacion-formal-a-take-on,Vandaag,No usage,A. Couto,Inagotable Experimentación Formal,Vandaag
Henri Matisse (1869-1954) (after) - Le Gouter (Golfe de St.,"€ 3,00","- henri matisse (naar), geautoriseerde offsetlithografie op glad zwaar papier (ongeveer 300 g/m²). - Gesigneerd in de plaat. - Ste",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509773895-henri-matisse-1869-1954-after-le-gouter-golfe-de-st,Vandaag,No usage,Henri Matisse,Le Gouter (Golfe de St.,Vandaag
"Pablo Picasso (1881-1971) after - Penguin, 1907 - Serigraph","€ 10,00","Prachtige, expressieve kunstprint van pablo picasso in het formaat 60 x 50 cm met de titel penguin. Het werk is een hoogwaardige z",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509852374-pablo-picasso-1881-1971-after-penguin-1907-serigraph,Vandaag,No usage,Unknown,"Penguin, 1907",Vandaag
Pablo Picasso (1881-1973) - Portrait,"€ 150,00","Gesigneerd in de plaat rechtsonder. Lithografie naar een werk van de kunstenaar, directe toondruk op arches france perkament. Zorg",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509654725-pablo-picasso-1881-1973-portrait,Vandaag,No usage,Unknown,Portrait,Vandaag
École de Paris (XX) - Une Lettre,"€ 200,00",-olieverf op doek. In overeenstemming met de esthetische postulaten van de naoorlogse ecole de paris worden we geconfronteerd met,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-schilderijen-klassiek/a1509771844-ecole-de-paris-xx-une-lettre,Vandaag,No usage,École de Paris,Une Lettre,Vandaag
A. Couto (XX) - Inagotable Experimentación Formal (A take on,"€ 175,00","- olie aan boord. - Het schilderij met de titel onuitputtelijke formele experimenten van antonio couto, een hedendaagse galicische",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-schilderijen-klassiek/a1509864992-a-couto-xx-inagotable-experimentacion-formal-a-take-on,Vandaag,No usage,A. Couto,Inagotable Experimentación Formal,Vandaag
Henri Matisse (1869-1954) (after) - Le Gouter (Golfe de St.,"€ 3,00","- henri matisse (naar), geautoriseerde offsetlithografie op glad zwaar papier (ongeveer 300 g/m²). - Gesigneerd in de plaat. - Ste",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509773895-henri-matisse-1869-1954-after-le-gouter-golfe-de-st,Vandaag,No usage,Henri Matisse,Le Gouter (Golfe de St.),Vandaag
"Pablo Picasso (1881-1971) after - Penguin, 1907 - Serigraph","€ 10,00","Prachtige, expressieve kunstprint van pablo picasso in het formaat 60 x 50 cm met de titel penguin. Het werk is een hoogwaardige z",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509852374-pablo-picasso-1881-1971-after-penguin-1907-serigraph,Vandaag,No usage,Pablo Picasso,"Penguin, 1907 - Serigraph",Vandaag
Pablo Picasso (1881-1973) - Portrait,"€ 150,00","Gesigneerd in de plaat rechtsonder. Lithografie naar een werk van de kunstenaar, directe toondruk op arches france perkament. Zorg",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509654725-pablo-picasso-1881-1973-portrait,Vandaag,No usage,Pablo Picasso,Portrait,Vandaag
