Title,Price,Description,Link,Date,Usage
Olympic Weight Plates PU - 25 Kg,"€ 182,81",De athletic performance olympic weight plates zijn halterschijven ideaal om gewicht mee te heffen in combinatie met een halterstan,https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/a1393097830-olympic-weight-plates-pu-25-kg,Vandaag,Nieuw
VirtuFit Olympische Halterstang - 50 mm - 180 cm,"€ 79,90",Ben je op zoek naar een halterstang die je krachttraining naar een hoger niveau tilt? Zoek niet verder! De virtufit olympische hal,https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/a1505863419-virtufit-olympische-halterstang-50-mm-180-cm,Vandaag,Nieuw
Flow fitness professioneel squatrek - power cage squatrack,"€ 599,00",Product: flow fitness professioneel squatrek staat: showroom model levering mogelijk: ja in regio twente tegen meer prijs montage,https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/a1508971903-flow-fitness-professioneel-squatrek-power-cage-squatrack,Vandaag,Nieuw
Xtreme Fitness CrossFit Men’s Barbell 20 kg – Gym PT Thuis,"€ 286,00",Xtreme fitness crossfit men’s barbell 20 kg – professionele olympische halterstang voor serieuze krachttraining de xtreme fitness,https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/a1509633662-xtreme-fitness-crossfit-men-s-barbell-20-kg-gym-pt-thuis,Vandaag,Nieuw
Plate Landmine steun voor lange Halterstangen 50mm,"€ 22,70",Ontdek vele nieuwe barbell-workouts met behulp van een 'landmine steun'. De landmine steun functioneert als een laag schar,https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/a1494512668-plate-landmine-steun-voor-lange-halterstangen-50mm,Vandaag,Nieuw
Complete halterstang rek - Halfrack/powerrack pivot,Bieden,Half rack powercage squatrack pullup bars met olympische barbell/halterstang 60kg aan schijven - heavy duty fitness bench alles va,https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m2223181354-complete-halterstang-rek-halfrack-powerrack-pivot,Vandaag,Nieuw
Olympic Weight Plates PU - 25 Kg,"€ 182,81",De athletic performance olympic weight plates zijn halterschijven ideaal om gewicht mee te heffen in combinatie met een halterstan,https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/a1393097830-olympic-weight-plates-pu-25-kg,Vandaag,Nieuw
Professionele halterstang - 220cm 20kg - ZEER GOEDE STAAT!,"€ 90,00","Olympische halterstang voor krachttraining. Olympische barbells van 220cm lang, met een gewicht van 20kg per stuk, perfect voor kr",https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m2215400743-professionele-halterstang-220cm-20kg-zeer-goede-staat,Vandaag,Zo goed als nieuw
VirtuFit Olympische Halterstang - 50 mm - 180 cm,"€ 79,90",Ben je op zoek naar een halterstang die je krachttraining naar een hoger niveau tilt? Zoek niet verder! De virtufit olympische hal,https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/a1505863419-virtufit-olympische-halterstang-50-mm-180-cm,Vandaag,Nieuw
195 kg Lifefitness halterset inclusief Halterstang 20 kg,"€ 400,00",Lifefitness halterschijven: 2 x 25 kg 2 x 20 kg 2 x 15 kg 4 x 10 kg 2 x 5 kg 2 x 2.5 Kg —> 175 kg 1 x olympische stang 20 kg -,No link,Vandaag,Ophalen
