Title,Price,Description,Link,Date,Usage
Figuur - Swarovski - Kinderwagen (Boxed + Certificate) -,"€ 10,00","Bekijk de foto's voor een duidelijke indruk, de staat en de inhoud. Wordt netjes verpakt en aangetekend verzonden. Zie ook onz",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509843626-figuur-swarovski-kinderwagen-boxed-certificate,Gisteren,No usage
Figuur - Swarovski - Kinderwagen (Boxed + Certificate) -,"€ 14,00","Bekijk de foto's voor een duidelijke indruk, de staat en de inhoud. Wordt netjes verpakt en aangetekend verzonden. Zie ook onz",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509635651-figuur-swarovski-kinderwagen-boxed-certificate,Gisteren,No usage
Figuur - Decoratieve Buggy met menner (antiek model) -,"€ 3,00",Dit gedetailleerd afgewerkte antieke model van paard en menner is een fraai kunstvoorwerp van zeer stevig metaal en polyresin. Het,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509794454-figuur-decoratieve-buggy-met-menner-antiek-model,Gisteren,No usage
Antieke poppenwagen/kinderwagen,Bieden,In nette en mooie staat. 70 Cm lang/42 cm breed en 63 cm hoog ( vanaf handgreep) 42 cm hoog ( zonder handgreep) vlechtwerk is van,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-speelgoed/m2224356967-antieke-poppenwagen-kinderwagen,Vandaag,Ophalen
Oude rieten kinderwagen brocante wagen,Zie omschrijving,"Bij antiekboerderij de olde fietse vindt u álles op gebied van antiek, brocante & curiosa en leuke nostalgische-hebbedingetjes",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/m2224314499-oude-rieten-kinderwagen-brocante-wagen,Vandaag,Verzenden
Figuur - Swarovski - Kinderwagen (Boxed + Certificate) -,"€ 10,00","Bekijk de foto's voor een duidelijke indruk, de staat en de inhoud. Wordt netjes verpakt en aangetekend verzonden. Zie ook onz",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509843626-figuur-swarovski-kinderwagen-boxed-certificate,11 jan 25,No usage
Poppen kinderwagen. Grote.,"€ 25,00",In goede staat. De kap doet het nog. Hij rijd. De kappen stof is niet kapot. Afmetingen zijn van leuning tot grond is 52 cm. Van l,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-speelgoed/m2224029792-poppen-kinderwagen-grote,Gisteren,Ophalen
Mooie Poppen kinderwagen.,"€ 10,00",Stoffering niet gescheurd. Hij rijd nog. Alles zit goed vast. Kap kan ook nog open en dicht. Afmetingen zin van handvat tot vloer,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-speelgoed/m2224035779-mooie-poppen-kinderwagen,Gisteren,Ophalen
Figuur - Swarovski - Kinderwagen (Boxed + Certificate) -,"€ 14,00","Bekijk de foto's voor een duidelijke indruk, de staat en de inhoud. Wordt netjes verpakt en aangetekend verzonden. Zie ook onz",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/a1509635651-figuur-swarovski-kinderwagen-boxed-certificate,Gisteren,No usage
Gzhel Rusland * porselein * blauw / wit * zie 23 x foto,Zie omschrijving,Gzhel ussr # rusland - 3 x fraai beeld - porselein in blauw wit - zie alle foto's. Heeft alle jaren in vitrine kast gestaan (,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-porselein/m2224340794-gzhel-rusland-porselein-blauw-wit-zie-23-x-foto,Vandaag,Ophalen of Verzenden
Antieke poppenwagen/kinderwagen,"€ 20,00","Was de bedoeling om hem zelf op te knappen, heeft alleen een beetje verf nodig aan de zijkant, maar heb er de tijd niet voor. Daar",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-speelgoed/m2224357990-antieke-poppenwagen-kinderwagen,Vandaag,Ophalen
Figuur - Decoratieve Buggy met menner (antiek model) -,"€ 3,00",Dit gedetailleerd afgewerkte antieke model van paard en menner is een fraai kunstvoorwerp van zeer stevig metaal en polyresin. Het,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/a1509794454-figuur-decoratieve-buggy-met-menner-antiek-model,10 jan 25,No usage
Kinderwagen Poppenwagen,Bieden,Op te halen in heeg. Merk koelstra. Voor de grote en kleine mama de kinderwagen is in goede staat met nieuwe draagrubbers. Onderst,https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/m2210143954-kinderwagen-poppenwagen,7 dec 24,Ophalen
prachtige antieke kinderwagen,"€ 100,00","Prachtige antieke kinderwagen. Staat hier al vele jaren ter decoratie. Inclusief antieke koffer, dekbed en dekbedovertrekje. De le",https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/m2220552965-prachtige-antieke-kinderwagen,6 jan 25,Ophalen
Antieke kinderwagen € 125,"€ 125,00",Antiek bunschoten 2000m2 antiek woonplezier . Inruil / ruil altijd bespreekbaar. Geopend op vrij - zat - ma van 10 tot 16 uur ant,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-speelgoed/m2213278867-antieke-kinderwagen-125,16 dec 24,Ophalen
