Title,Price,Description,Link,Date,Usage
Yamaha Kabel tussen Genos en Subwoofer GNS-MS01 subwooferkab,Zie omschrijving,Yamaha kabel tussen genos en subwoofer gns-ms01 subwooferkab: zeer scherpe prijs! + 100% Gegarandeerd de beste service van nederla,https://www.marktplaats.nl/v/muziek-en-instrumenten/overige-muziek-en-instrumenten/a1486395412-yamaha-kabel-tussen-genos-en-subwoofer-gns-ms01-subwooferkab,Vandaag,Nieuw
Omnitronic BX-1550 subwoofer,"€ 155,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1358320362-omnitronic-bx-1550-subwoofer,Vandaag,Nieuw
DAP Pure Club 15 actieve luidsprekerset,"€ 899,00","Dap pure club 15 actieve luidsprekerset 700w rms stop met slepen met aparte versterkers, kabels die in de knoop raken, veel te zwa",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1394992129-dap-pure-club-15-actieve-luidsprekerset,Vandaag,Nieuw
Professionele 4-kanaals eindversterker 4 x 200 Watt Rms,"€ 439,00","Professionele 4-kanaals eindversterker 4 x 200 watt rms professionele 4-kanaals eindversterker in een uiterst compacte 19"" 1u",https://www.marktplaats.nl/v/muziek-en-instrumenten/versterkers-keyboard-monitor-en-pa/a1500346716-professionele-4-kanaals-eindversterker-4-x-200-watt-rms,Vandaag,Nieuw
Adam Hall Warnex verf zwarte spetterlak voor luidsprekers,"€ 48,50",Zijn je luidsprekerkasten aan vervanging toe? Met deze warnex verf voorzie je de kasten van een nieuwe laag spetterlak. Dit blik i,https://www.marktplaats.nl/v/muziek-en-instrumenten/behuizingen-en-koffers/a1486059697-adam-hall-warnex-verf-zwarte-spetterlak-voor-luidsprekers,Vandaag,Nieuw
Yamaha Kabel tussen Genos en Subwoofer GNS-MS01 subwooferkab,Zie omschrijving,Yamaha kabel tussen genos en subwoofer gns-ms01 subwooferkab: zeer scherpe prijs! + 100% Gegarandeerd de beste service van nederla,https://www.marktplaats.nl/v/muziek-en-instrumenten/overige-muziek-en-instrumenten/a1486395412-yamaha-kabel-tussen-genos-en-subwoofer-gns-ms01-subwooferkab,Vandaag,Nieuw
Set van 2 x EAW fr250z subwoofer en yamaha px10 amp,Zie omschrijving,"In gebruikte staat, maar uitstekend werkend. Wij zijn overgestapt op een ander systeem, daarom zijn deze krachtpatsers overbodig.",https://www.marktplaats.nl/v/muziek-en-instrumenten/versterkers-keyboard-monitor-en-pa/m2203837687-set-van-2-x-eaw-fr250z-subwoofer-en-yamaha-px10-amp,Vandaag,Gebruikt
Yamaha Subwoofer kabel voor Tyros 1/2/3/4 naar originele spe,Zie omschrijving,Yamaha subwoofer kabel voor tyros 1/2/3/4 naar originele spe: zeer scherpe prijs! + 100% Gegarandeerd de beste service van nederla,https://www.marktplaats.nl/v/muziek-en-instrumenten/overige-muziek-en-instrumenten/a1486395372-yamaha-subwoofer-kabel-voor-tyros-1-2-3-4-naar-originele-spe,Vandaag,Nieuw
Yamaha tyros 1 keyboard plus boxen en subwoofer,Bieden,Mooie tyros 1 keyboard.plus boxen en subwoofer. Werkt goed . Bieden vanaf 400 . Kan worden bezichtigd. Kan ook worden verzonden. V,No link,Vandaag,Ophalen of Verzenden
Omnitronic BX-1550 subwoofer,"€ 155,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1358320362-omnitronic-bx-1550-subwoofer,Vandaag,Nieuw
Mooie Denon receiver en JBL subwoofer Bieden!,Bieden,Hele mooie denon receiver en dikke subwoofer van jbl kan ook los van elkaar verkocht worden bieden naar waarde,No link,Vandaag,Zo goed als nieuw
(B-Stock) Omnitronic BX-1550 subwoofer,"€ 151,00","Van €155.00 Voor €151.00 | Gratis bezorging voor bestellingen boven de €75,- | 30 dagen ""niet-goed-geld-terug&",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1509797267-b-stock-omnitronic-bx-1550-subwoofer,Vandaag,Nieuw
Speakers en standaard,Bieden,Speakers en standaard en subwoofer,No link,Vandaag,Zo goed als nieuw
(B-Stock) SynQ I-Sub 210 subwoofer,"€ 341,00","Van €350.00 Voor €341.00 | Gratis bezorging voor bestellingen boven de €75,- | 30 dagen ""niet-goed-geld-terug&",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1509595066-b-stock-synq-i-sub-210-subwoofer,Vandaag,Nieuw
Max I5Sub subwoofer/luidspreker,"€ 125,00","Disco subwoofer 1200 watt nieuwprijs nu nog €159,90 (zie google) nieuw! Nooit gebruikt, want was niet de juiste aansluiting v",No link,Gisteren,Nieuw
Devine Onyx 18SXA actieve subwoofer,"€ 499,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1358339766-devine-onyx-18sxa-actieve-subwoofer,Gisteren,Nieuw
Skytec Subwoofer 1000 watt passief,Bieden,Subwoofer van skytec 1000 watt. Aansluiting met speakon of jack werkt. Andere aansluiting werkt niet. Eventueel aan te sluiten met,https://www.marktplaats.nl/v/muziek-en-instrumenten/versterkers-keyboard-monitor-en-pa/m2222864584-skytec-subwoofer-1000-watt-passief,13 jan 25,Gebruikt
Samson RSX118S passieve subwoofer,"€ 539,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1508958308-samson-rsx118s-passieve-subwoofer,13 jan 25,Nieuw
Devine 15 inch subwoofer 500 watt.,"€ 175,00","2 jaar oud, 3 keer gebruikt. Actieve sub voor die extra punch. Ik maak er dus te weinig gebruik van.",No link,12 jan 25,Zo goed als nieuw
(B-Stock) dB Technologies SUB 915 actieve 15 inch subwoofer,"€ 776,00","Van €1149.00 Voor €776.00 | Gratis bezorging voor bestellingen boven de €75,- | 30 dagen ""niet-goed-geld-terug",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1508958728-b-stock-db-technologies-sub-915-actieve-15-inch-subwoofer,12 jan 25,Nieuw
Subwoofer + versterker,"€ 200,00",Subwoofer + versterker,No link,8 jan 25,Zo goed als nieuw
Genelec 7350APM studio subwoofer,"€ 1.259,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1440150826-genelec-7350apm-studio-subwoofer,8 jan 25,Nieuw
Harman Kardon actieve subwoofer TS7,"€ 100,00",Glanzend zwart met een prima sound.ik verkoop dit omdat ik kleiner ben gaan wonen.,No link,Eergisteren,Gebruikt
Devine Onyx 10SXA actieve subwoofer,"€ 279,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1358339782-devine-onyx-10sxa-actieve-subwoofer,Eergisteren,Nieuw
LD Systems Stinger 10A G3 actieve PA luidspreker + subwoofer,"€ 500,00",Ik verkoop dit omdat het café wat ik heb overgenomen deze gebruikte. Ik heb er zelf straks niets aan. Komen met 2 speakers en 1 su,No link,13 jan 25,Zo goed als nieuw
Devine Onyx 15SXA actieve subwoofer,"€ 449,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1358339775-devine-onyx-15sxa-actieve-subwoofer,13 jan 25,Nieuw
2x LD systems stinger 18 G3A wielplaat subwoofer,"€ 150,00",2x nieuwe wielplaten voor ld systems stinger 18g3a subwoofer,No link,Eergisteren,Nieuw
Omnitronic BX-1250 12 inch subwoofer,"€ 105,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1358321428-omnitronic-bx-1250-12-inch-subwoofer,Eergisteren,Nieuw
4x nieuwe LD systems stinger 18G3A subwoofer hoes,"€ 150,00",4x nieuwe ld systems stinger 18g3a subwoofer hoes 40 euro per stuk. 150€ voor alle 4,No link,Eergisteren,Nieuw
(B-Stock) Devine Onyx 10SXA actieve subwoofer,"€ 244,00","Van €279.00 Voor €244.00 | Gratis bezorging voor bestellingen boven de €75,- | 30 dagen ""niet-goed-geld-terug&",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1508960479-b-stock-devine-onyx-10sxa-actieve-subwoofer,Eergisteren,Nieuw
Reloop Digital Jockey,"€ 25,00",Kabels en subwoofer op de foto niet bijgeleverd,No link,12 jan 25,Zo goed als nieuw
(B-Stock) Devine Onyx 18SXA actieve subwoofer,"€ 424,00","Van €499.00 Voor €424.00 | Gratis bezorging voor bestellingen boven de €75,- | 30 dagen ""niet-goed-geld-terug&",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1508959286-b-stock-devine-onyx-18sxa-actieve-subwoofer,12 jan 25,Nieuw
Behringer speaker set,"€ 550,00",Complete set speakers van behringer in goede staat met tussenpalen werkt naar behoren hier te beluisteren . Wordt alleen als set v,https://www.marktplaats.nl/v/muziek-en-instrumenten/versterkers-keyboard-monitor-en-pa/m2223174058-behringer-speaker-set,Eergisteren,Gebruikt
(B-Stock) Devine Onyx 10SXA actieve subwoofer,"€ 272,00","Van €279.00 Voor €272.00 | Gratis bezorging voor bestellingen boven de €75,- | 30 dagen ""niet-goed-geld-terug&",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1509595096-b-stock-devine-onyx-10sxa-actieve-subwoofer,Eergisteren,Nieuw
Jbl Subwoofer Northbridge E250p/230 Zwart,Bieden,"Jbl subwoofer specs 250 watts 550 watts 12"" polyplas™ line level (switchable to lfe) and speaker level with 5-way binding pos",https://www.marktplaats.nl/v/muziek-en-instrumenten/versterkers-keyboard-monitor-en-pa/m2222578903-jbl-subwoofer-northbridge-e250p-230-zwart,12 jan 25,Gebruikt
Omnitronic BX-1550 subwoofer,"€ 155,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1358320362-omnitronic-bx-1550-subwoofer,8 jan 25,Nieuw
Devine Onyx 18SXA actieve subwoofer,"€ 499,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1358339766-devine-onyx-18sxa-actieve-subwoofer,8 jan 25,Nieuw
Electro-Voice ETX-15SP actieve subwoofer,"€ 1.639,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1358327000-electro-voice-etx-15sp-actieve-subwoofer,8 jan 25,Nieuw
JBL EON718S actieve 18 inch subwoofer met Bluetooth,"€ 1.055,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1437131439-jbl-eon718s-actieve-18-inch-subwoofer-met-bluetooth,8 jan 25,Nieuw
Bose F1 Subwoofer,"€ 1.185,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1358316996-bose-f1-subwoofer,8 jan 25,Nieuw
(B-Stock) LD Systems SUB 88 A actieve subwoofer 2 x 8 inch,"€ 246,00","Van €289.00 Voor €246.00 | Gratis bezorging voor bestellingen boven de €75,- | 30 dagen ""niet-goed-geld-terug&",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1508960373-b-stock-ld-systems-sub-88-a-actieve-subwoofer-2-x-8-inch,8 jan 25,Nieuw
Subwoofer + versterker,"€ 200,00",Subwoofer + versterker,No link,8 jan 25,Zo goed als nieuw
(B-Stock) Devine Onyx 18SA 18 inch actieve subwoofer,"€ 474,00","Van €499.00 Voor €474.00 | Gratis bezorging voor bestellingen boven de €75,- | 30 dagen ""niet-goed-geld-terug&",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1508960707-b-stock-devine-onyx-18sa-18-inch-actieve-subwoofer,8 jan 25,Nieuw
(B-Stock) Devine Onyx 18SA 18 inch actieve subwoofer,"€ 462,00","Van €499.00 Voor €462.00 | Gratis bezorging voor bestellingen boven de €75,- | 30 dagen ""niet-goed-geld-terug&",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1508958867-b-stock-devine-onyx-18sa-18-inch-actieve-subwoofer,8 jan 25,Nieuw
(B-Stock) Devine Onyx 15SA 15 inch actieve subwoofer,"€ 397,00","Van €429.00 Voor €397.00 | Gratis bezorging voor bestellingen boven de €75,- | 30 dagen ""niet-goed-geld-terug&",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1508982269-b-stock-devine-onyx-15sa-15-inch-actieve-subwoofer,8 jan 25,Nieuw
Harman Kardon actieve subwoofer TS7,"€ 100,00",Glanzend zwart met een prima sound.ik verkoop dit omdat ik kleiner ben gaan wonen.,No link,Eergisteren,Gebruikt
(B-Stock) Devine Onyx 18SA 18 inch actieve subwoofer,"€ 487,00","Van €499.00 Voor €487.00 | Gratis bezorging voor bestellingen boven de €75,- | 30 dagen ""niet-goed-geld-terug&",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1509692025-b-stock-devine-onyx-18sa-18-inch-actieve-subwoofer,Eergisteren,Nieuw
(B-Stock) Devine Onyx 18SA 18 inch actieve subwoofer,"€ 487,00","Van €499.00 Voor €487.00 | Gratis bezorging voor bestellingen boven de €75,- | 30 dagen ""niet-goed-geld-terug&",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1503103945-b-stock-devine-onyx-18sa-18-inch-actieve-subwoofer,Eergisteren,Nieuw
(B-Stock) Devine Onyx 18SA 18 inch actieve subwoofer,"€ 462,00","Van €499.00 Voor €462.00 | Gratis bezorging voor bestellingen boven de €75,- | 30 dagen ""niet-goed-geld-terug&",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1508960621-b-stock-devine-onyx-18sa-18-inch-actieve-subwoofer,Eergisteren,Nieuw
LD Systems Stinger 10A G3 actieve PA luidspreker + subwoofer,"€ 500,00",Ik verkoop dit omdat het café wat ik heb overgenomen deze gebruikte. Ik heb er zelf straks niets aan. Komen met 2 speakers en 1 su,No link,13 jan 25,Zo goed als nieuw
(B-Stock) Devine Onyx 18SA 18 inch actieve subwoofer,"€ 462,00","Van €499.00 Voor €462.00 | Gratis bezorging voor bestellingen boven de €75,- | 30 dagen ""niet-goed-geld-terug&",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1508960630-b-stock-devine-onyx-18sa-18-inch-actieve-subwoofer,13 jan 25,Nieuw
(B-Stock) Devine Onyx 18SA 18 inch actieve subwoofer,"€ 449,00","Van €499.00 Voor €449.00 | Gratis bezorging voor bestellingen boven de €75,- | 30 dagen ""niet-goed-geld-terug&",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1508958382-b-stock-devine-onyx-18sa-18-inch-actieve-subwoofer,13 jan 25,Nieuw
(B-Stock) Devine Onyx 18SA 18 inch actieve subwoofer,"€ 424,00","Van €499.00 Voor €424.00 | Gratis bezorging voor bestellingen boven de €75,- | 30 dagen ""niet-goed-geld-terug&",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1508959879-b-stock-devine-onyx-18sa-18-inch-actieve-subwoofer,13 jan 25,Nieuw
2x LD systems stinger 18 G3A wielplaat subwoofer,"€ 150,00",2x nieuwe wielplaten voor ld systems stinger 18g3a subwoofer,No link,Eergisteren,Nieuw
(B-Stock) Devine Onyx 18SA 18 inch actieve subwoofer,"€ 474,00","Van €499.00 Voor €474.00 | Gratis bezorging voor bestellingen boven de €75,- | 30 dagen ""niet-goed-geld-terug&",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1509044581-b-stock-devine-onyx-18sa-18-inch-actieve-subwoofer,Eergisteren,Nieuw
Mackie CR8SBT actieve subwoofer met remote en Bluetooth,"€ 244,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1508958690-mackie-cr8sbt-actieve-subwoofer-met-remote-en-bluetooth,Eergisteren,Nieuw
Adam Sub10 Mk2 actieve DJ & studio subwoofer (per stuk),"€ 1.029,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1171606073-adam-sub10-mk2-actieve-dj-studio-subwoofer-per-stuk,Eergisteren,Nieuw
4x nieuwe LD systems stinger 18G3A subwoofer hoes,"€ 150,00",4x nieuwe ld systems stinger 18g3a subwoofer hoes 40 euro per stuk. 150€ voor alle 4,No link,Eergisteren,Nieuw
Genelec 7350APM studio subwoofer,"€ 1.259,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1440150826-genelec-7350apm-studio-subwoofer,Eergisteren,Nieuw
Audiophony iLINESUB12Aw actieve subwoofer wit,"€ 629,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1509540843-audiophony-ilinesub12aw-actieve-subwoofer-wit,Eergisteren,Nieuw
LD Systems SUB 88 passieve subwoofer 8 inch,"€ 157,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1320538411-ld-systems-sub-88-passieve-subwoofer-8-inch,Eergisteren,Nieuw
Reloop Digital Jockey,"€ 25,00",Kabels en subwoofer op de foto niet bijgeleverd,No link,12 jan 25,Zo goed als nieuw
Eve Audio TS108 actieve subwoofer,"€ 745,00","Waarom bax-shop.nl? Gratis bezorging voor bestellingen boven de €75,- 30 dagen ""niet-goed-geld-terug"" garantie stan",https://www.marktplaats.nl/v/muziek-en-instrumenten/speakers/a1437129971-eve-audio-ts108-actieve-subwoofer,12 jan 25,Nieuw
